time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-18 15:44:24 +0100;
    0.020100;    -9.332237;     1.142169;     0.396848; ; 
    0.020200;    -9.628709;     1.142169;     0.030948; ; 
    0.020300;    -9.576391;     1.092812;     0.104128; ; 
    0.020400;    -9.506632;     1.092812;     0.543208; ; 
    0.020500;    -9.593830;     1.043455;     0.543208; ; 
    0.020600;    -9.698467;     1.125716;     0.616388; ; 
    0.020700;    -9.681028;     1.240883;     0.396848; ; 
    0.020800;    -9.698467;     1.224430;     0.323668; ; 
    0.020900;    -9.715907;     1.257335;     0.543208; ; 
    0.021000;    -9.611270;     1.175073;     0.543208; ; 
    0.021100;    -9.628709;     0.928288;     0.543208; ; 
    0.021200;    -9.454314;     0.747313;     0.543208; ; 
    0.021300;    -9.524072;     0.796670;     0.543208; ; 
    0.021400;    -9.454314;     1.125716;     0.543208; ; 
    0.021500;    -9.733346;     1.273787;     0.543208; ; 
    0.021600;    -9.837983;     1.207978;     0.689568; ; 
    0.021700;   -10.047258;     1.125716;     0.396848; ; 
    0.021800;    -9.558951;     1.043455;     0.323668; ; 
    0.021900;    -9.541511;     1.240883;     0.470028; ; 
    0.022000;    -9.681028;     1.454763;     0.616388; ; 
    0.022100;    -9.489193;     1.388954;     0.470028; ; 
    0.022200;    -9.611270;     1.388954;     0.543208; ; 
    0.022300;    -9.558951;     1.421858;     0.470028; ; 
    0.022400;    -9.646149;     1.471215;     0.616388; ; 
    0.022500;    -9.628709;     1.257335;     0.616388; ; 
    0.022600;    -9.803104;     0.977645;     0.616388; ; 
    0.022700;    -9.837983;     0.681503;     0.470028; ; 
    0.022800;    -9.628709;     0.878931;     0.396848; ; 
    0.022900;    -9.698467;     1.224430;     0.470028; ; 
    0.023000;    -9.558951;     1.421858;     0.323668; ; 
    0.023100;    -9.646149;     1.602834;     0.543208; ; 
    0.023200;    -9.489193;     1.356049;     0.616388; ; 
    0.023300;    -9.611270;     1.257335;     0.762748; ; 
