time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-18 15:49:00 +0100;
    0.000100;    -9.785665;     1.290240;     0.470028; ; 
    0.000200;    -9.715907;     1.306692;     0.396848; ; 
    0.000300;    -9.925181;     1.125716;     0.396848; ; 
    0.000400;    -9.855423;     0.730860;     0.689568; ; 
    0.000500;    -9.837983;     0.599242;     0.543208; ; 
    0.000600;    -9.925181;     0.747313;     0.543208; ; 
    0.000700;    -9.994939;     1.257335;     0.396848; ; 
    0.000800;    -9.960060;     1.520572;     0.470028; ; 
    0.000900;    -9.837983;     1.290240;     0.396848; ; 
    0.001000;    -9.750786;     1.043455;     0.543208; ; 
    0.001100;    -9.663588;     1.027002;     0.250488; ; 
    0.001200;    -9.663588;     1.109264;     0.323668; ; 
    0.001300;    -9.785665;     1.191526;     0.543208; ; 
    0.001400;   -10.047258;     1.207978;     0.470028; ; 
    0.001500;    -9.960060;     1.142169;     0.323668; ; 
    0.001600;    -9.925181;     1.356049;     0.470028; ; 
    0.001700;    -9.890302;     1.438311;     0.616388; ; 
    0.001800;    -9.750786;     1.421858;     0.396848; ; 
    0.001900;    -9.681028;     1.158621;     0.543208; ; 
    0.002000;    -9.628709;     0.961193;     0.396848; ; 
    0.002100;    -9.611270;     0.994098;     0.396848; ; 
    0.002200;    -9.768225;     1.273787;     0.177308; ; 
    0.002300;    -9.855423;     1.471215;     0.323668; ; 
    0.002400;   -10.064697;     1.537025;     0.543208; ; 
    0.002500;    -9.890302;     1.438311;     0.470028; ; 
    0.002600;    -9.907742;     1.388954;     0.543208; ; 
    0.002700;    -9.803104;     1.569929;     0.470028; ; 
    0.002800;    -9.803104;     1.652191;     0.323668; ; 
    0.002900;    -9.628709;     1.652191;     0.543208; ; 
    0.003000;    -9.646149;     1.553477;     0.396848; ; 
    0.003100;    -9.820544;     1.553477;     0.470028; ; 
    0.003200;    -9.855423;     1.685096;     0.543208; ; 
    0.003300;    -9.855423;     1.487668;     0.470028; ; 
    0.003400;    -9.942621;     1.010550;     0.543208; ; 
    0.003500;   -10.047258;     0.714408;     0.396848; ; 
    0.003600;    -9.907742;     0.714408;     0.396848; ; 
    0.003700;    -9.750786;     0.977645;     0.396848; ; 
    0.003800;    -9.541511;     1.224430;     0.396848; ; 
    0.003900;    -9.524072;     1.273787;     0.396848; ; 
    0.004000;    -9.628709;     1.240883;     0.250488; ; 
    0.004100;    -9.698467;     1.158621;     0.470028; ; 
    0.004200;    -9.907742;     1.224430;     0.543208; ; 
    0.004300;   -10.082137;     1.240883;     0.470028; ; 
    0.004400;    -9.837983;     1.257335;     0.396848; ; 
    0.004500;    -9.942621;     1.388954;     0.177308; ; 
    0.004600;    -9.698467;     1.454763;     0.396848; ; 
    0.004700;    -9.611270;     1.487668;     0.396848; ; 
    0.004800;    -9.611270;     1.323144;     0.250488; ; 
    0.004900;    -9.646149;     0.928288;     0.470028; ; 
    0.005000;    -9.663588;     0.714408;     0.396848; ; 
    0.005100;    -9.698467;     0.730860;     0.543208; ; 
    0.005200;    -9.907742;     0.994098;     0.616388; ; 
    0.005300;    -9.785665;     1.010550;     0.396848; ; 
    0.005400;    -9.872863;     1.059907;     0.177308; ; 
    0.005500;    -9.733346;     1.059907;     0.104128; ; 
    0.005600;    -9.646149;     1.207978;     0.396848; ; 
    0.005700;    -9.663588;     1.372501;     0.470028; ; 
    0.005800;    -9.576391;     1.471215;     0.470028; ; 
    0.005900;    -9.524072;     1.405406;     0.396848; ; 
    0.006000;    -9.750786;     1.356049;     0.396848; ; 
    0.006100;    -9.855423;     1.388954;     0.250488; ; 
    0.006200;    -9.872863;     1.438311;     0.323668; ; 
    0.006300;    -9.907742;     1.257335;     0.396848; ; 
    0.006400;    -9.750786;     0.730860;     0.323668; ; 
    0.006500;    -9.820544;     0.467623;     0.323668; ; 
    0.006600;    -9.576391;     0.533432;     0.470028; ; 
    0.006700;    -9.576391;     0.862479;     0.543208; ; 
    0.006800;    -9.593830;     1.323144;     0.396848; ; 
    0.006900;    -9.750786;     1.273787;     0.470028; ; 
    0.007000;    -9.837983;     1.142169;     0.396848; ; 
    0.007100;    -9.907742;     1.043455;     0.396848; ; 
    0.007200;    -9.820544;     1.027002;     0.616388; ; 
    0.007300;    -9.855423;     0.977645;     0.470028; ; 
    0.007400;    -9.837983;     1.142169;     0.470028; ; 
    0.007500;    -9.646149;     1.191526;     0.470028; ; 
    0.007600;    -9.506632;     1.290240;     0.250488; ; 
    0.007700;    -9.611270;     1.306692;     0.250488; ; 
    0.007800;    -9.715907;     1.175073;     0.323668; ; 
    0.007900;    -9.733346;     0.813122;     0.323668; ; 
    0.008000;    -9.593830;     0.615694;     0.543208; ; 
    0.008100;    -9.855423;     0.714408;     0.616388; ; 
    0.008200;    -9.890302;     1.109264;     0.543208; ; 
    0.008300;    -9.733346;     1.421858;     0.470028; ; 
    0.008400;    -9.768225;     1.504120;     0.396848; ; 
    0.008500;    -9.558951;     1.388954;     0.250488; ; 
    0.008600;    -9.576391;     1.356049;     0.470028; ; 
    0.008700;    -9.681028;     1.240883;     0.543208; ; 
    0.008800;    -9.681028;     1.356049;     0.470028; ; 
    0.008900;    -9.890302;     1.471215;     0.470028; ; 
    0.009000;    -9.803104;     1.487668;     0.470028; ; 
    0.009100;    -9.820544;     1.372501;     0.470028; ; 
    0.009200;    -9.803104;     1.454763;     0.396848; ; 
    0.009300;    -9.750786;     1.224430;     0.396848; ; 
    0.009400;    -9.576391;     0.780217;     0.470028; ; 
    0.009500;    -9.576391;     0.648599;     0.470028; ; 
    0.009600;    -9.611270;     0.911836;     0.835928; ; 
    0.009700;    -9.663588;     1.273787;     0.543208; ; 
    0.009800;    -9.820544;     1.685096;     0.543208; ; 
    0.009900;    -9.733346;     1.471215;     0.470028; ; 
    0.010000;    -9.768225;     1.290240;     0.470028; ; 
    0.010100;    -9.820544;     1.059907;     0.250488; ; 
    0.010200;    -9.541511;     0.994098;     0.323668; ; 
    0.010300;    -9.593830;     1.076359;     0.396848; ; 
    0.010400;    -9.611270;     1.142169;     0.396848; ; 
    0.010500;    -9.611270;     1.306692;     0.323668; ; 
    0.010600;    -9.576391;     1.273787;     0.470028; ; 
    0.010700;    -9.698467;     1.257335;     0.396848; ; 
    0.010800;    -9.768225;     1.191526;     0.470028; ; 
    0.010900;    -9.855423;     0.928288;     0.323668; ; 
