time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-12 17:27:10 +0100;
    0.000100;     0.259502;     1.438311;    -0.993572; ; 
    0.000200;     0.189743;     1.504120;    -1.213112; ; 
    0.000300;     0.050227;     1.816714;    -1.359472; ; 
    0.000400;     0.207183;     1.816714;    -1.286292; ; 
    0.000500;     0.102546;     1.833167;    -1.139932; ; 
    0.000600;    -0.019531;     1.718000;    -0.993572; ; 
    0.000700;     0.224622;     1.668643;    -1.066752; ; 
    0.000800;     0.259502;     1.816714;    -1.139932; ; 
    0.000900;     0.416457;     1.619286;    -0.993572; ; 
    0.001000;     0.381578;     1.718000;    -1.213112; ; 
    0.001100;     0.085106;     1.701548;    -1.139932; ; 
    0.001200;     0.189743;     1.882524;    -1.139932; ; 
    0.001300;     0.085106;     1.997690;    -1.139932; ; 
    0.001400;     0.207183;     1.800262;    -0.993572; ; 
    0.001500;     0.085106;     1.537025;    -1.213112; ; 
    0.001600;     0.172304;     1.224430;    -1.066752; ; 
    0.001700;     0.311820;     1.142169;    -1.139932; ; 
    0.001800;     0.294381;     1.471215;    -1.286292; ; 
    0.001900;     0.433897;     1.586382;    -1.213112; ; 
    0.002000;     0.451336;     1.701548;    -1.066752; ; 
    0.002100;     0.207183;     1.537025;    -1.213112; ; 
    0.002200;     0.102546;     1.487668;    -1.139932; ; 
    0.002300;     0.102546;     1.668643;    -1.066752; ; 
    0.002400;     0.276941;     1.816714;    -1.139932; ; 
    0.002500;     0.207183;     1.948333;    -1.286292; ; 
    0.002600;     0.364139;     1.915428;    -1.213112; ; 
    0.002700;     0.329260;     1.898976;    -1.139932; ; 
    0.002800;     0.346699;     1.981238;    -1.066752; ; 
    0.002900;     0.486215;     1.882524;    -1.139932; ; 
    0.003000;     0.399018;     1.734453;    -1.359472; ; 
    0.003100;     0.242062;     1.602834;    -1.066752; ; 
    0.003200;     0.329260;     1.619286;    -0.993572; ; 
    0.003300;     0.102546;     1.898976;    -1.139932; ; 
    0.003400;     0.276941;     1.964785;    -1.139932; ; 
    0.003500;     0.608292;     2.129309;    -1.286292; ; 
    0.003600;     0.364139;     2.096404;    -1.139932; ; 
    0.003700;     0.433897;     1.981238;    -1.213112; ; 
    0.003800;     0.381578;     1.915428;    -0.993572; ; 
    0.003900;     0.433897;     2.030595;    -0.993572; ; 
    0.004000;     0.311820;     2.129309;    -1.139932; ; 
    0.004100;     0.224622;     2.211570;    -1.066752; ; 
    0.004200;     0.172304;     2.228023;    -1.213112; ; 
    0.004300;     0.154864;     2.162213;    -1.579012; ; 
    0.004400;     0.294381;     1.981238;    -1.066752; ; 
    0.004500;     0.399018;     1.685096;    -1.066752; ; 
    0.004600;     0.451336;     1.438311;    -0.920392; ; 
    0.004700;     0.573413;     1.290240;    -0.920392; ; 
    0.004800;     0.503655;     1.471215;    -1.066752; ; 
    0.004900;     0.433897;     1.750905;    -1.286292; ; 
    0.005000;     0.294381;     1.898976;    -1.359472; ; 
    0.005100;     0.311820;     1.750905;    -0.993572; ; 
    0.005200;     0.154864;     1.553477;    -1.286292; ; 
    0.005300;     0.259502;     1.504120;    -1.066752; ; 
    0.005400;     0.329260;     1.553477;    -0.993572; ; 
    0.005500;     0.311820;     1.602834;    -1.139932; ; 
    0.005600;     0.486215;     1.668643;    -1.286292; ; 
    0.005700;     0.555973;     1.569929;    -1.139932; ; 
    0.005800;     0.521094;     1.520572;    -0.993572; ; 
    0.005900;     0.364139;     1.388954;    -1.139932; ; 
    0.006000;     0.329260;     1.306692;    -1.213112; ; 
    0.006100;     0.207183;     1.257335;    -0.993572; ; 
    0.006200;     0.294381;     1.323144;    -0.993572; ; 
    0.006300;     0.294381;     1.454763;    -1.066752; ; 
    0.006400;     0.364139;     1.734453;    -1.139932; ; 
    0.006500;     0.486215;     1.816714;    -1.286292; ; 
    0.006600;     0.503655;     1.668643;    -1.213112; ; 
    0.006700;     0.364139;     1.537025;    -1.139932; ; 
    0.006800;     0.433897;     1.520572;    -1.139932; ; 
    0.006900;     0.189743;     1.537025;    -0.920392; ; 
    0.007000;     0.224622;     1.718000;    -1.066752; ; 
    0.007100;     0.259502;     1.800262;    -1.066752; ; 
    0.007200;     0.399018;     1.718000;    -1.066752; ; 
    0.007300;     0.207183;     1.635739;    -1.139932; ; 
    0.007400;     0.433897;     1.504120;    -1.213112; ; 
    0.007500;     0.555973;     1.454763;    -1.139932; ; 
    0.007600;     0.538534;     1.306692;    -1.286292; ; 
    0.007700;     0.381578;     1.240883;    -0.993572; ; 
    0.007800;     0.329260;     1.421858;    -0.920392; ; 
    0.007900;     0.294381;     1.833167;    -1.139932; ; 
    0.008000;     0.346699;     1.997690;    -1.286292; ; 
    0.008100;     0.067667;     1.898976;    -1.066752; ; 
    0.008200;     0.521094;     1.652191;    -1.139932; ; 
    0.008300;     0.311820;     1.520572;    -1.139932; ; 
    0.008400;     0.364139;     1.718000;    -0.993572; ; 
    0.008500;     0.468776;     1.915428;    -0.993572; ; 
    0.008600;     0.573413;     1.981238;    -0.920392; ; 
    0.008700;     0.503655;     1.964785;    -0.993572; ; 
    0.008800;     0.364139;     2.047047;    -1.139932; ; 
    0.008900;     0.329260;     1.964785;    -1.652192; ; 
    0.009000;     0.207183;     1.668643;    -1.139932; ; 
    0.009100;     0.329260;     1.306692;    -1.213112; ; 
    0.009200;     0.416457;     1.207978;    -1.286292; ; 
    0.009300;     0.503655;     1.356049;    -1.213112; ; 
    0.009400;     0.521094;     1.668643;    -0.554492; ; 
    0.009500;     0.643171;     1.849619;    -0.700852; ; 
    0.009600;     0.399018;     1.849619;    -1.213112; ; 
    0.009700;     0.590852;     1.783810;    -1.139932; ; 
    0.009800;     0.346699;     1.750905;    -1.359472; ; 
    0.009900;     0.329260;     1.833167;    -1.213112; ; 
    0.010000;     0.276941;     1.800262;    -1.139932; ; 
    0.010100;     0.451336;     1.652191;    -1.066752; ; 
    0.010200;     0.555973;     1.685096;    -1.139932; ; 
    0.010300;     0.503655;     1.898976;    -0.847212; ; 
    0.010400;     0.590852;     1.898976;    -1.066752; ; 
    0.010500;     0.451336;     1.767357;    -1.286292; ; 
    0.010600;     0.433897;     1.372501;    -1.139932; ; 
    0.010700;     0.381578;     1.142169;    -0.993572; ; 
    0.010800;     0.329260;     1.257335;    -1.579012; ; 
    0.010900;     0.311820;     1.487668;    -1.066752; ; 
    0.011000;     0.294381;     1.833167;    -1.139932; ; 
    0.011100;     0.381578;     1.734453;    -0.993572; ; 
    0.011200;     0.747808;     1.520572;    -1.139932; ; 
    0.011300;     0.573413;     1.421858;    -1.213112; ; 
    0.011400;     0.416457;     1.405406;    -1.286292; ; 
    0.011500;     0.468776;     1.602834;    -1.432652; ; 
    0.011600;     0.311820;     1.652191;    -0.993572; ; 
    0.011700;     0.311820;     1.537025;    -0.700852; ; 
    0.011800;     0.276941;     1.718000;    -1.066752; ; 
    0.011900;     0.399018;     1.866071;    -1.139932; ; 
    0.012000;     0.364139;     1.767357;    -1.213112; ; 
    0.012100;     0.643171;     1.537025;    -1.139932; ; 
    0.012200;     0.590852;     1.356049;    -1.286292; ; 
    0.012300;     0.643171;     1.372501;    -1.139932; ; 
    0.012400;     0.451336;     1.553477;    -0.993572; ; 
    0.012500;     0.364139;     1.718000;    -1.286292; ; 
    0.012600;     0.346699;     1.668643;    -1.139932; ; 
    0.012700;     0.416457;     1.602834;    -0.993572; ; 
    0.012800;     0.399018;     1.569929;    -1.139932; ; 
    0.012900;     0.590852;     1.569929;    -1.213112; ; 
    0.013000;     0.555973;     1.734453;    -1.286292; ; 
    0.013100;     0.590852;     1.849619;    -1.213112; ; 
    0.013200;     0.538534;     1.948333;    -1.066752; ; 
    0.013300;     0.573413;     2.030595;    -1.286292; ; 
    0.013400;     0.207183;     1.866071;    -1.139932; ; 
    0.013500;     0.381578;     1.652191;    -1.359472; ; 
    0.013600;     0.381578;     1.290240;    -1.066752; ; 
    0.013700;     0.451336;     1.175073;    -1.213112; ; 
    0.013800;     0.555973;     1.454763;    -1.139932; ; 
    0.013900;     0.486215;     1.718000;    -1.213112; ; 
    0.014000;     0.590852;     1.948333;    -1.213112; ; 
    0.014100;     0.660610;     1.833167;    -1.652192; ; 
    0.014200;     0.538534;     1.783810;    -0.920392; ; 
    0.014300;     0.451336;     1.783810;    -0.920392; ; 
    0.014400;     0.399018;     1.767357;    -0.993572; ; 
    0.014500;     0.364139;     1.964785;    -1.432652; ; 
    0.014600;     0.294381;     1.931881;    -1.213112; ; 
    0.014700;     0.119985;     1.833167;    -1.139932; ; 
    0.014800;     0.678050;     1.833167;    -1.139932; ; 
    0.014900;     0.451336;     1.849619;    -0.920392; ; 
    0.015000;     0.643171;     1.750905;    -0.993572; ; 
    0.015100;     0.643171;     1.487668;    -0.847212; ; 
    0.015200;     0.521094;     1.372501;    -1.066752; ; 
    0.015300;     0.451336;     1.487668;    -1.213112; ; 
    0.015400;     0.381578;     1.504120;    -0.847212; ; 
    0.015500;     0.311820;     1.619286;    -1.213112; ; 
    0.015600;     0.364139;     1.586382;    -0.993572; ; 
    0.015700;     0.521094;     1.454763;    -1.286292; ; 
    0.015800;     0.416457;     1.421858;    -1.066752; ; 
    0.015900;     0.555973;     1.306692;    -0.920392; ; 
    0.016000;     0.660610;     1.273787;    -0.993572; ; 
    0.016100;     0.538534;     1.487668;    -1.139932; ; 
    0.016200;     0.555973;     1.635739;    -1.213112; ; 
    0.016300;     0.381578;     1.734453;    -1.066752; ; 
    0.016400;     0.381578;     1.701548;    -1.066752; ; 
    0.016500;     0.311820;     1.668643;    -1.213112; ; 
    0.016600;     0.538534;     1.800262;    -1.139932; ; 
    0.016700;     0.521094;     1.701548;    -0.993572; ; 
    0.016800;     0.590852;     1.750905;    -1.286292; ; 
    0.016900;     0.643171;     1.800262;    -1.139932; ; 
    0.017000;     0.608292;     1.767357;    -1.066752; ; 
    0.017100;     0.590852;     1.718000;    -1.139932; ; 
    0.017200;     0.433897;     1.569929;    -1.066752; ; 
    0.017300;     0.346699;     1.685096;    -1.139932; ; 
    0.017400;     0.329260;     1.668643;    -1.066752; ; 
    0.017500;     0.346699;     1.718000;    -1.286292; ; 
    0.017600;     0.399018;     1.833167;    -1.066752; ; 
    0.017700;     0.521094;     1.816714;    -1.139932; ; 
    0.017800;     0.695490;     1.800262;    -1.213112; ; 
    0.017900;     0.678050;     1.783810;    -1.213112; ; 
    0.018000;     0.538534;     1.767357;    -1.213112; ; 
    0.018100;     0.102546;     1.438311;    -1.213112; ; 
    0.018200;     0.451336;     1.043455;    -1.213112; ; 
    0.018300;     0.399018;     1.076359;    -0.993572; ; 
    0.018400;     0.416457;     1.339597;    -1.066752; ; 
    0.018500;     0.503655;     1.750905;    -1.286292; ; 
    0.018600;     0.503655;     1.882524;    -1.213112; ; 
    0.018700;     0.712929;     1.800262;    -1.139932; ; 
    0.018800;     0.695490;     1.487668;    -1.286292; ; 
    0.018900;     0.590852;     1.339597;    -1.286292; ; 
    0.019000;     0.538534;     1.372501;    -1.139932; ; 
    0.019100;     0.259502;     1.537025;    -1.066752; ; 
    0.019200;     0.486215;     1.602834;    -0.920392; ; 
    0.019300;     0.399018;     1.471215;    -0.774032; ; 
    0.019400;     0.538534;     1.273787;    -1.066752; ; 
    0.019500;     0.521094;     1.092812;    -1.213112; ; 
    0.019600;     0.608292;     1.010550;    -1.139932; ; 
    0.019700;     0.695490;     1.010550;    -1.213112; ; 
    0.019800;     0.625731;     1.240883;    -1.066752; ; 
    0.019900;     0.678050;     1.471215;    -0.993572; ; 
    0.020000;     0.555973;     1.652191;    -1.066752; ; 
    0.020100;     0.521094;     1.619286;    -1.066752; ; 
    0.020200;     0.433897;     1.537025;    -1.139932; ; 
    0.020300;     0.503655;     1.569929;    -1.139932; ; 
    0.020400;     0.486215;     1.619286;    -1.213112; ; 
    0.020500;     0.416457;     1.898976;    -1.066752; ; 
    0.020600;     0.468776;     2.014142;    -1.139932; ; 
    0.020700;     0.573413;     1.915428;    -0.993572; ; 
    0.020800;     0.695490;     1.882524;    -1.139932; ; 
    0.020900;     0.590852;     1.816714;    -1.066752; ; 
    0.021000;     0.538534;     1.602834;    -1.139932; ; 
    0.021100;     0.451336;     1.059907;    -1.213112; ; 
    0.021200;     0.555973;     0.385361;    -1.139932; ; 
    0.021300;     0.521094;     0.615694;    -1.139932; ; 
    0.021400;     0.468776;     1.191526;    -1.139932; ; 
    0.021500;     0.747808;     2.047047;    -1.359472; ; 
    0.021600;     0.625731;     2.178666;    -1.066752; ; 
    0.021700;     0.678050;     1.948333;    -0.920392; ; 
    0.021800;     0.573413;     1.504120;    -1.066752; ; 
    0.021900;     0.416457;     1.306692;    -0.920392; ; 
    0.022000;     0.381578;     1.356049;    -1.286292; ; 
    0.022100;     0.503655;     1.471215;    -1.139932; ; 
    0.022200;     0.329260;     1.569929;    -1.139932; ; 
    0.022300;     0.608292;     1.586382;    -1.139932; ; 
    0.022400;     0.538534;     1.537025;    -1.359472; ; 
    0.022500;     0.643171;     1.454763;    -1.213112; ; 
    0.022600;     0.660610;     0.911836;    -0.993572; ; 
    0.022700;     0.573413;     0.533432;    -0.920392; ; 
    0.022800;     0.381578;     0.730860;    -1.213112; ; 
    0.022900;     0.381578;     1.240883;    -1.213112; ; 
    0.023000;     0.311820;     1.750905;    -1.213112; ; 
    0.023100;     0.207183;     1.750905;    -1.066752; ; 
    0.023200;     0.311820;     1.537025;    -1.139932; ; 
    0.023300;     0.660610;     1.339597;    -1.139932; ; 
    0.023400;     0.625731;     1.372501;    -1.066752; ; 
    0.023500;     0.782687;     1.602834;    -0.627672; ; 
    0.023600;     0.573413;     1.866071;    -1.066752; ; 
    0.023700;     0.486215;     1.816714;    -1.066752; ; 
    0.023800;     0.555973;     1.635739;    -1.139932; ; 
    0.023900;     0.329260;     1.635739;    -1.139932; ; 
    0.024000;     0.311820;     1.602834;    -1.139932; ; 
    0.024100;     0.433897;     1.191526;    -1.139932; ; 
    0.024200;     0.311820;     0.549885;    -1.286292; ; 
    0.024300;     0.695490;     0.549885;    -1.213112; ; 
    0.024400;     0.590852;     1.109264;    -0.700852; ; 
    0.024500;     0.555973;     1.668643;    -0.920392; ; 
    0.024600;     0.468776;     1.948333;    -1.139932; ; 
    0.024700;     0.329260;     1.750905;    -1.213112; ; 
    0.024800;     0.381578;     1.421858;    -1.432652; ; 
    0.024900;     0.416457;     1.175073;    -1.213112; ; 
    0.025000;     0.468776;     1.125716;    -1.213112; ; 
    0.025100;     0.590852;     1.191526;    -1.066752; ; 
    0.025200;     0.555973;     1.438311;    -1.139932; ; 
    0.025300;     0.660610;     1.569929;    -0.993572; ; 
    0.025400;     0.643171;     1.454763;    -0.920392; ; 
    0.025500;     0.538534;     1.290240;    -1.139932; ; 
    0.025600;     0.381578;     0.977645;    -1.139932; ; 
    0.025700;     0.433897;     0.747313;    -1.213112; ; 
    0.025800;     0.486215;     0.961193;    -1.359472; ; 
    0.025900;     0.451336;     1.569929;    -1.213112; ; 
