time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-12 17:30:16 +0100;
    0.000100;    -0.629914;     2.557069;     1.348188; ; 
    0.000200;    -0.507837;     2.540617;     1.787267; ; 
    0.000300;    -0.455519;     2.557069;     1.494547; ; 
    0.000400;    -0.664793;     2.639331;     1.494547; ; 
    0.000500;    -0.821749;     2.770950;     1.567727; ; 
    0.000600;    -0.682233;     2.770950;     1.494547; ; 
    0.000700;    -0.734551;     2.869664;     1.640907; ; 
    0.000800;    -0.734551;     2.902568;     1.567727; ; 
    0.000900;    -0.664793;     2.770950;     2.226347; ; 
    0.001000;    -0.595035;     2.655783;     1.494547; ; 
    0.001100;    -0.577596;     2.770950;     1.567727; ; 
    0.001200;    -0.455519;     2.672236;     1.567727; ; 
    0.001300;    -0.368321;     2.754497;     1.275008; ; 
    0.001400;    -0.542716;     2.820307;     1.640907; ; 
    0.001500;    -0.542716;     2.886116;     1.494547; ; 
    0.001600;    -0.734551;     2.853211;     1.714087; ; 
    0.001700;    -0.751991;     2.688688;     2.079987; ; 
    0.001800;    -0.490398;     2.540617;     1.567727; ; 
    0.001900;    -0.629914;     2.343189;     2.299527; ; 
    0.002000;    -0.542716;     2.458355;     1.275008; ; 
    0.002100;    -0.368321;     2.770950;     1.640907; ; 
    0.002200;    -0.507837;     2.935473;     1.494547; ; 
    0.002300;    -0.682233;     2.803854;     1.640907; ; 
    0.002400;    -0.577596;     2.589974;     1.860447; ; 
    0.002500;    -0.751991;     2.425451;     1.275008; ; 
    0.002600;    -0.595035;     2.491260;     1.494547; ; 
    0.002700;    -0.664793;     2.655783;     1.714087; ; 
    0.002800;    -0.490398;     2.886116;     1.714087; ; 
    0.002900;    -0.490398;     2.803854;     2.811787; ; 
    0.003000;    -0.420640;     2.754497;     1.421367; ; 
    0.003100;    -0.385761;     2.639331;     2.079987; ; 
    0.003200;    -0.507837;     2.573522;     1.494547; ; 
    0.003300;    -0.682233;     2.408998;     1.421367; ; 
    0.003400;    -0.629914;     2.441903;     2.153167; ; 
    0.003500;    -0.682233;     2.639331;     1.714087; ; 
    0.003600;    -0.629914;     2.787402;     1.714087; ; 
    0.003700;    -0.577596;     2.754497;     1.494547; ; 
    0.003800;    -0.176487;     2.639331;     1.421367; ; 
    0.003900;    -0.455519;     2.507712;     1.567727; ; 
    0.004000;    -0.507837;     2.507712;     1.860447; ; 
    0.004100;    -0.455519;     2.639331;     1.567727; ; 
    0.004200;    -0.490398;     2.688688;     1.787267; ; 
    0.004300;    -0.281124;     2.655783;     1.275008; ; 
    0.004400;    -0.717112;     2.672236;     1.275008; ; 
    0.004500;    -0.647354;     2.853211;     1.640907; ; 
    0.004600;    -0.525277;     2.919021;     1.494547; ; 
    0.004700;    -0.507837;     2.688688;     2.006807; ; 
    0.004800;    -0.263684;     2.376094;     1.567727; ; 
    0.004900;    -0.298563;     2.244475;     1.640907; ; 
    0.005000;    -0.350882;     2.408998;     1.348188; ; 
    0.005100;    -0.438079;     2.655783;     1.567727; ; 
    0.005200;    -0.577596;     2.820307;     1.640907; ; 
    0.005300;    -1.118221;     2.935473;     1.494547; ; 
    0.005400;    -0.734551;     2.869664;     1.714087; ; 
    0.005500;    -0.542716;     2.935473;     1.494547; ; 
    0.005600;    -0.420640;     2.951925;     1.787267; ; 
    0.005700;    -0.490398;     3.034187;     1.714087; ; 
    0.005800;    -0.385761;     2.984830;     2.006807; ; 
    0.005900;    -0.281124;     3.001282;     3.104507; ; 
    0.006000;    -0.316003;     3.132901;     1.933627; ; 
    0.006100;    -0.595035;     3.050639;     1.787267; ; 
    0.006200;    -0.525277;     2.557069;     2.153167; ; 
    0.006300;    -1.990197;     1.964785;     1.860447; ; 
    0.006400;    -0.560156;     1.833167;     2.299527; ; 
    0.006500;    -0.472958;     2.441903;     1.860447; ; 
    0.006600;    -0.420640;     3.215163;     2.006807; ; 
    0.006700;    -0.350882;     3.527757;     1.640907; ; 
    0.006800;    -0.472958;     3.280972;     1.787267; ; 
    0.006900;    -0.350882;     2.886116;     2.226347; ; 
    0.007000;    -0.525277;     2.721593;     1.640907; ; 
    0.007100;    -0.542716;     2.672236;     1.714087; ; 
    0.007200;    -0.525277;     2.968378;     1.567727; ; 
    0.007300;    -0.996144;     3.001282;     1.787267; ; 
    0.007400;    -0.577596;     3.067092;     1.201828; ; 
    0.007500;    -0.281124;     3.083544;     1.640907; ; 
    0.007600;    -0.298563;     3.116449;     1.860447; ; 
    0.007700;    -0.298563;     2.787402;     1.787267; ; 
