Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,0,0.543208,2.42545
0.0002,0.0695603,0.250488,2.3844
0.0003,0.0904286,0.030948,2.32767
0.0004,0.0844664,0.543208,2.24987
0.0005,0.0792218,0.030948,2.22926
0.0006,0.0853698,0.396848,2.23673
0.0007,0.0909638,0.250488,2.23636
0.0008,0.0857913,0.104128,2.25143
0.0009,0.100249,0.177308,2.26807
0.001,0.109832,0.104128,2.24547
0.0011,0.110137,0.250488,2.2071
0.0012,0.108877,0.323668,2.2067
0.0013,0.107123,0.250488,2.2145
0.0014,0.103053,0.177308,2.22145
0.0015,0.103141,0.104128,2.23297
0.0016,0.106024,0.177308,2.24042
0.0017,0.10803,0.323668,2.23869
0.0018,0.103844,0.250488,2.21763
0.0019,0.101051,0.177308,2.21364
0.002,0.104787,0.250488,2.21966
0.0021,0.106037,0.104128,2.213
0.0022,0.111216,0.104128,2.21204
0.0023,0.115161,0.177308,2.21619
0.0024,0.115071,0.104128,2.21954
0.0025,0.121731,0.177308,2.20815
0.0026,0.121049,0.177308,2.19781
0.0027,0.117793,0.250488,2.20221
0.0028,0.117304,0.030948,2.2039
0.0029,0.116544,-0.261772,2.20298
0.003,0.117015,0.250488,2.20561
0.0031,0.116599,0.177308,2.21296
0.0032,0.115382,0.177308,2.21778
0.0033,0.114507,0.104128,2.21361
0.0034,0.114463,-0.042232,2.21874
0.0035,0.116186,0.323668,2.22295
0.0036,0.117322,0.250488,2.21736
0.0037,0.116967,0.250488,2.21845
0.0038,0.115702,-0.042232,2.22638
0.0039,0.115633,0.104128,2.22688
0.004,0.117108,0.030948,2.20765
0.0041,0.116149,0.104128,2.19366
0.0042,0.115655,0.250488,2.202
0.0043,0.114161,0.177308,2.20818
0.0044,0.112936,0.104128,2.20738
0.0045,0.112157,0.250488,2.20833
0.0046,0.110074,0.250488,2.21351
0.0047,0.108642,0.250488,2.21615
0.0048,0.107453,0.177308,2.21428
0.0049,0.107568,0.250488,2.21696
0.005,0.108557,0.177308,2.22072
0.0051,0.107503,0.104128,2.2322
0.0052,0.105922,0.396848,2.25239
0.0053,0.105219,0.250488,2.27559
0.0054,0.105395,0.396848,2.29716
0.0055,0.106624,0.177308,2.31017
0.0056,0.107678,0.030948,2.32216
0.0057,0.107854,0.177308,2.34306
0.0058,0.10803,0.177308,2.36208
0.0059,0.109259,0.250488,2.38373
0.006,0.110137,0.250488,2.40642
0.0061,0.11084,0.177308,2.42868
0.0062,0.111543,0.177308,2.44647
0.0063,0.111894,-0.042232,2.45723
0.0064,0.112772,0.323668,2.47082
0.0065,0.113651,0.396848,2.48526
0.0066,0.113826,0.177308,2.49861
0.0067,0.114002,0.177308,2.51206
0.0068,0.114178,0.030948,2.52621
0.0069,0.112948,0.250488,2.54019
0.007,0.112245,0.396848,2.55064
0.0071,0.11207,0.177308,2.5612
0.0072,0.112597,0.177308,2.57467
0.0073,0.112948,0.104128,2.58601
0.0074,0.113299,0.104128,2.59659
0.0075,0.114002,0.323668,2.60697
0.0076,0.115056,0.177308,2.61652
0.0077,0.115759,0.396848,2.62217
0.0078,0.116286,0.177308,2.62528
0.0079,0.115583,0.104128,2.63598
0.008,0.115583,0.250488,2.64741
0.0081,0.115759,0.030948,2.65461
0.0082,0.115934,0.250488,2.66031
0.0083,0.115934,0.030948,2.66704
0.0084,0.116988,0.177308,2.67452
0.0085,0.117339,0.030948,2.67855
0.0086,0.118042,0.177308,2.6814
0.0087,0.118745,0.177308,2.68722
0.0088,0.119096,0.104128,2.69415
0.0089,0.119272,0.104128,2.70294
0.009,0.119447,0.323668,2.71328
0.0091,0.12015,-0.042232,2.72129
0.0092,0.119799,0.250488,2.72832
0.0093,0.118569,-0.042232,2.73543
0.0094,0.117164,0.250488,2.74307
0.0095,0.117515,-0.042232,2.75064
0.0096,0.118218,0.177308,2.75809
0.0097,0.118393,0.030948,2.76532
0.0098,0.115407,0.177308,2.77301
0.0099,0.112421,0.177308,2.78014
0.01,0.111543,0.323668,2.78161
0.0801,0.112772,-0.042232,2.78256
0.0802,0.113826,0.177308,2.78703
0.0803,0.115232,0.030948,2.79056
0.0804,0.116286,0.104128,2.79421
0.0805,0.117339,0.177308,2.79937
0.0806,0.118393,0.177308,2.80511
0.0807,0.119447,0.030948,2.80889
0.0808,0.120326,0.030948,2.81251
0.0809,0.121028,0.104128,2.81633
0.081,0.121731,0.104128,2.81949
0.0811,0.122433,0.177308,2.8237
0.0812,0.12296,0.030948,2.8301
0.0813,0.123312,0.177308,2.83652
0.0814,0.123839,0.104128,2.84088
0.0815,0.124366,0.250488,2.84258
0.0816,0.126474,0.104128,2.84574
0.0817,0.125947,-0.042232,2.85105
0.0818,0.126122,0.250488,2.85455
0.0819,0.125244,0.396848,2.86009
0.082,0.124717,0.177308,2.8668
0.0821,0.124893,0.177308,2.87322
0.0822,0.125771,0.250488,2.87069
0.0823,0.125595,0.177308,2.86662
0.0824,0.125771,0.030948,2.87215
0.0825,0.125947,0.323668,2.87713
0.0826,0.126122,0.396848,2.88033
0.0827,0.126298,0.250488,2.88458
0.0828,0.126298,0.104128,2.8894
0.0829,0.126298,0.030948,2.89287
0.083,0.124717,0.177308,2.89557
0.0831,0.126122,0.250488,2.89964
0.0832,0.126298,0.250488,2.90427
0.0833,0.127352,0.104128,2.90752
0.0834,0.129108,0.104128,2.91078
0.0835,0.129635,0.323668,2.91478
0.0836,0.130689,0.323668,2.91859
0.0837,0.131216,0.104128,2.91529
0.0838,0.13227,0.177308,2.9121
0.0839,0.131743,0.323668,2.91758
0.084,0.13227,0.323668,2.9212
0.0841,0.132446,0.396848,2.9229
0.0842,0.133851,0.177308,2.92565
0.0843,0.135081,0.030948,2.92789
0.0844,0.13631,0.250488,2.92872
0.0845,0.137364,0.470028,2.92818
0.0846,0.138067,0.177308,2.93047
0.0847,0.137891,0.250488,2.93299
0.0848,0.137716,0.250488,2.93352
0.0849,0.137364,0.177308,2.93488
0.085,0.139648,0.250488,2.93661
0.0851,0.142458,0.104128,2.93763
0.0852,0.143512,0.104128,2.93539
0.0853,0.143688,0.177308,2.93565
0.0854,0.143512,0.177308,2.93913
0.0855,0.142283,0.177308,2.94203
0.0856,0.141931,0.104128,2.9447
0.0857,0.141756,0.177308,2.94775
0.0858,0.140878,0.177308,2.95079
0.0859,0.139824,0.104128,2.95159
0.086,0.13877,0.104128,2.9515
0.0861,0.138067,0.250488,2.9537
0.0862,0.138945,0.323668,2.95496
0.0863,0.139999,0.250488,2.95528
0.0864,0.141053,0.177308,2.95725
0.0865,0.141053,0.323668,2.95991
0.0866,0.141053,0.104128,2.96031
0.0867,0.141229,0.250488,2.95634
0.0868,0.14281,0.177308,2.9555
0.0869,0.144039,0.177308,2.95826
0.087,0.144391,0.104128,2.95921
0.0871,0.144215,0.250488,2.96028
0.0872,0.144039,0.470028,2.96206
0.0873,0.143864,0.177308,2.96406
0.0874,0.145269,0.104128,2.96452
0.0875,0.145445,0.250488,2.96268
0.0876,0.145972,0.396848,2.96397
0.0877,0.145796,0.177308,2.96544
0.0878,0.146499,0.104128,2.96682
0.0879,0.145972,0.177308,2.96949
0.088,0.145445,0.250488,2.97241
0.0881,0.14562,0.177308,2.97404
0.0882,0.145796,0.104128,2.97122
0.0883,0.14685,0.177308,2.96974
0.0884,0.147377,0.030948,2.97141
0.0885,0.148431,0.323668,2.97101
0.0886,0.148958,0.323668,2.97074
0.0887,0.148782,0.030948,2.97122
0.0888,0.148255,0.250488,2.97181
0.0889,0.147728,0.616388,2.9717
0.089,0.14808,0.177308,2.97115
0.0891,0.149485,0.177308,2.97153
0.0892,0.15089,0.323668,2.97195
0.0893,0.152295,0.470028,2.97141
0.0894,0.151768,-0.188592,2.97122
0.0895,0.151241,0.616388,2.97162
0.0896,0.150714,0.104128,2.97059
0.0897,0.151944,-0.042232,2.96535
0.0898,0.153349,0.323668,2.96543
0.0899,0.154579,0.177308,2.96627
0.09,0.154403,0.030948,2.96508
0.0901,0.154579,0.250488,2.9646
0.0902,0.154403,0.250488,2.9658
0.0903,0.154052,-0.042232,2.96672
0.0904,0.153701,0.104128,2.96634
0.0905,0.152822,0.177308,2.9666
0.0906,0.151768,0.030948,2.9676
0.0907,0.15089,0.250488,2.96813
0.0908,0.149309,0.030948,2.96986
0.0909,0.148782,0.177308,2.9714
0.091,0.147904,0.250488,2.9731
0.0911,0.148431,0.323668,2.97205
0.0912,0.149309,0.323668,2.96712
0.0913,0.150012,0.104128,2.96717
0.0914,0.150187,0.104128,2.96868
0.0915,0.148782,0.104128,2.96877
0.0916,0.14966,-0.042232,2.96833
0.0917,0.149836,0.177308,2.96867
0.0918,0.150187,0.177308,2.96891
0.0919,0.150187,0.250488,2.96821
0.092,0.150363,0.323668,2.96716
0.0921,0.150539,0.104128,2.96723
0.0922,0.151241,0.104128,2.9672
0.0923,0.151944,0.104128,2.96815
0.0924,0.15212,0.177308,2.97043
0.0925,0.152295,0.250488,2.97268
0.0926,0.151944,0.396848,2.97284
0.0927,0.151768,0.030948,2.96945
0.0928,0.151593,0.104128,2.96981
0.0929,0.150187,0.396848,2.97144
0.093,0.148782,0.177308,2.9714
0.0931,0.147728,0.104128,2.97189
0.0932,0.147201,0.030948,2.97262
0.0933,0.146147,0.177308,2.97328
0.0934,0.146323,0.177308,2.97227
0.0935,0.146323,0.104128,2.97168
0.0936,0.147026,0.104128,2.97204
0.0937,0.147026,0.030948,2.97222
0.0938,0.147377,0.104128,2.972
0.0939,0.147904,0.104128,2.97172
0.094,0.148782,0.177308,2.97173
0.0941,0.148782,0.104128,2.96999
0.0942,0.148606,0.250488,2.96744
0.0943,0.148431,0.470028,2.96766
0.0944,0.148431,0.177308,2.96792
0.0945,0.147728,0.104128,2.96702
0.0946,0.147904,0.177308,2.96611
0.0947,0.14808,0.104128,2.96531
0.0948,0.148431,0.323668,2.96432
0.0949,0.148782,0.543208,2.96328
0.095,0.145972,0.396848,2.96451
0.0951,0.144742,0.104128,2.96548
0.0952,0.143512,0.250488,2.96605
0.0953,0.14281,0.104128,2.96698
0.0954,0.143864,-0.042232,2.96778
0.0955,0.146323,0.323668,2.96826
0.0956,0.148607,0.323668,2.96741
0.0957,0.149485,0.177308,2.96524
0.0958,0.14966,0.177308,2.96418
0.0959,0.149836,0.104128,2.96368
0.096,0.150363,0.250488,2.96451
0.0961,0.14966,0.396848,2.96589
0.0962,0.14808,0.177308,2.96755
0.0963,0.146499,0.104128,2.96885
0.0964,0.146323,0.104128,2.96809
0.0965,0.146147,-0.115412,2.96805
0.0966,0.147026,0.177308,2.96792
0.0967,0.147201,0.177308,2.9676
0.0968,0.147728,0.177308,2.96787
0.0969,0.14808,0.177308,2.96863
0.097,0.148255,0.177308,2.96959
0.0971,0.148431,0.104128,2.9693
0.0972,0.149133,0.177308,2.96752
0.0973,0.147377,0.177308,2.9672
0.0974,0.147377,0.250488,2.96719
0.0975,0.147377,0.470028,2.96812
0.0976,0.147728,0.250488,2.9693
0.0977,0.148255,-0.188592,2.97064
0.0978,0.148255,0.177308,2.97119
0.0979,0.148255,0.250488,2.96981
0.098,0.147553,0.104128,2.96972
0.0981,0.146499,0.030948,2.9704
0.0982,0.145972,0.323668,2.97112
0.0983,0.145972,0.250488,2.97215
0.0984,0.145445,0.250488,2.97348
0.0985,0.145093,-0.042232,2.97537
0.0986,0.144742,0.177308,2.97457
0.0987,0.145445,0.250488,2.97263
0.0988,0.146147,0.177308,2.9725
0.0989,0.145445,0.250488,2.97244
0.099,0.143864,0.030948,2.97244
0.0991,0.14281,0.323668,2.97279
0.0992,0.141931,0.250488,2.97303
0.0993,0.142458,0.323668,2.9726
0.0994,0.144039,0.030948,2.97194
0.0995,0.14562,0.104128,2.97195
0.0996,0.14685,0.250488,2.97236
0.0997,0.147201,0.250488,2.97254
0.0998,0.14685,0.104128,2.97309
0.0999,0.14685,0.250488,2.97383
0.1,0.14685,0.104128,2.97419
0.1001,0.146674,0.323668,2.97209
0.1002,0.146323,0.250488,2.97042
0.1003,0.14685,0.250488,2.97022
0.1004,0.147904,0.104128,2.96872
0.1005,0.148782,0.030948,2.96735
0.1006,0.149309,0.543208,2.96675
0.1007,0.150539,0.177308,2.96625
0.1008,0.150714,0.030948,2.9656
0.1009,0.151066,0.104128,2.96488
0.101,0.151066,0.250488,2.96555
0.1011,0.150714,0.396848,2.96583
0.1012,0.150539,0.104128,2.96504
0.1013,0.15089,0.177308,2.96446
0.1014,0.15212,0.250488,2.96366
0.1015,0.151593,0.177308,2.96348
0.1016,0.151417,0.250488,2.96282
0.1017,0.151417,0.250488,2.96254
0.1018,0.151417,0.104128,2.96213
0.1019,0.15089,0.104128,2.96134
0.102,0.14966,0.177308,2.96152
0.1021,0.149133,0.104128,2.96175
0.1022,0.151066,0.177308,2.96115
0.1023,0.151241,0.250488,2.96056
0.1024,0.152647,0.470028,2.95921
0.1025,0.153349,0.104128,2.959
0.1026,0.153876,0.104128,2.95883
0.1027,0.154403,0.250488,2.95863
0.1028,0.157038,0.030948,2.95817
0.1029,0.159673,0.323668,2.9575
0.103,0.161078,0.250488,2.95726
0.1031,0.162659,0.250488,2.95711
0.1032,0.164064,0.104128,2.95702
0.1033,0.165997,0.323668,2.95645
0.1034,0.165118,0.396848,2.95704
0.1035,0.163889,0.177308,2.95792
0.1036,0.163362,-0.115412,2.9588
0.1037,0.16424,0.250488,2.95932
0.1038,0.165294,0.250488,2.95859
0.1039,0.165997,0.250488,2.958
0.104,0.165645,0.104128,2.95876
0.1041,0.16547,0.104128,2.95872
0.1042,0.166699,0.250488,2.95781
0.1043,0.167929,0.323668,2.95692
0.1044,0.16951,0.104128,2.95591
