time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-25 16:37:47 +0100;
    0.000100;   -38.805061;     1.668643;     1.787267; ; 
    0.000200;   -38.996897;     1.783810;     2.006807; ; 
    0.000300;   -38.822501;     1.668643;     1.860447; ; 
    0.000400;   -38.700424;     1.718000;     2.079987; ; 
    0.000500;   -38.752743;     1.734453;     2.299527; ; 
    0.000600;   -38.369073;     1.816714;     2.006807; ; 
    0.000700;   -38.578347;     1.569929;     2.153167; ; 
    0.000800;   -38.456270;     1.109264;     1.933627; ; 
    0.000900;   -38.682985;     0.846027;     1.787267; ; 
    0.001000;   -38.805061;     1.027002;     2.006807; ; 
    0.001100;   -38.857380;     1.323144;     2.153167; ; 
    0.001200;   -38.927138;     1.487668;     2.153167; ; 
    0.001300;   -38.543468;     1.504120;     2.006807; ; 
    0.001400;   -38.508589;     1.685096;     1.860447; ; 
    0.001500;   -38.526029;     1.537025;     1.714087; ; 
    0.001600;   -38.473710;     1.487668;     1.714087; ; 
    0.001700;   -38.595787;     1.454763;     1.787267; ; 
    0.001800;   -38.578347;     1.372501;     1.860447; ; 
    0.001900;   -38.805061;     1.701548;     1.933627; ; 
    0.002000;   -38.700424;     1.750905;     2.153167; ; 
    0.002100;   -38.700424;     1.537025;     2.226347; ; 
    0.002200;   -38.752743;     0.615694;     2.006807; ; 
    0.002300;   -39.764237;    -0.091756;     2.153167; ; 
    0.002400;   -38.473710;     0.072767;     1.933627; ; 
    0.002500;   -38.316754;     0.944741;     2.079987; ; 
    0.002600;   -38.508589;     1.619286;     1.933627; ; 
    0.002700;   -38.543468;     1.898976;     1.640907; ; 
    0.002800;   -38.543468;     1.454763;     1.348188; ; 
    0.002900;   -38.770182;     1.158621;     2.079987; ; 
    0.003000;   -38.857380;     0.994098;     2.372707; ; 
    0.003100;   -38.665545;     1.109264;     2.592247; ; 
    0.003200;   -38.752743;     1.076359;     2.079987; ; 
    0.003300;   -38.787622;     1.175073;     1.933627; ; 
    0.003400;   -38.456270;     1.191526;     1.860447; ; 
    0.003500;   -38.403952;     1.175073;     1.860447; ; 
    0.003600;   -38.595787;     1.142169;     1.787267; ; 
    0.003700;   -38.648105;     0.977645;     2.299527; ; 
    0.003800;   -38.874820;     0.895384;     1.860447; ; 
    0.003900;   -38.665545;     0.961193;     2.006807; ; 
    0.004000;   -38.717864;     1.142169;     2.299527; ; 
    0.004100;   -38.508589;     1.356049;     2.079987; ; 
    0.004200;   -38.508589;     1.224430;     1.933627; ; 
    0.004300;   -37.601732;     1.059907;     1.714087; ; 
    0.004400;   -38.403952;     1.109264;     3.324047; ; 
    0.004500;   -38.421391;     1.191526;     2.153167; ; 
    0.004600;   -38.543468;     1.438311;     2.153167; ; 
    0.004700;   -38.543468;     1.569929;     2.153167; ; 
    0.004800;   -38.159798;     1.537025;     2.006807; ; 
