Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0139,2.53249,1.71409,1.69024
0.014,2.53196,1.86045,1.69193
0.0141,2.53108,1.71409,1.69273
0.0142,2.53073,0.177308,1.69136
0.0143,2.53108,1.71409,1.69115
0.0144,2.53196,1.78727,1.69064
0.0145,2.53196,1.78727,1.68942
0.0146,2.53108,1.56773,1.68932
0.0147,2.53021,0.104128,1.68978
0.0148,2.52968,1.78727,1.69012
0.0149,2.52968,1.86045,1.68861
0.015,2.5281,1.78727,1.69081
0.0151,2.52652,1.86045,1.69332
0.0152,2.52476,0.396848,1.69462
0.0153,2.52353,1.71409,1.69777
0.0154,2.52248,1.64091,1.70071
0.0155,2.523,1.78727,1.70328
0.0156,2.52406,1.56773,1.70377
0.0157,2.52599,-0.847212,1.70232
0.0158,2.5274,2.00681,1.70383
0.0159,2.52617,1.86045,1.7066
0.016,2.52529,1.86045,1.70917
0.0161,2.52388,1.64091,1.71226
0.0162,2.52283,-0.261772,1.71474
0.0163,2.52336,1.64091,1.71592
0.0164,2.52388,1.86045,1.71441
0.0165,2.52441,2.07999,1.71488
0.0166,2.52423,1.86045,1.71643
0.0167,2.52406,1.27501,1.71825
0.0168,2.523,1.64091,1.72145
0.0169,2.52177,1.78727,1.72478
0.017,2.52037,2.00681,1.72769
0.0171,2.51896,1.78727,1.72628
0.0172,2.52019,1.27501,1.72632
0.0173,2.52037,1.93363,1.72991
0.0174,2.51879,1.93363,1.73067
0.0175,2.51721,1.86045,1.7319
0.0176,2.51545,1.78727,1.73365
0.0177,2.51475,1.56773,1.73633
0.0178,2.51369,1.86045,1.73696
0.0179,2.51264,1.78727,1.737
0.018,2.51141,1.86045,1.73893
0.0181,2.50913,2.00681,1.74068
0.0182,2.50895,1.42137,1.74117
0.0183,2.50878,1.93363,1.74219
0.0184,2.50965,1.64091,1.74373
0.0185,2.51018,1.86045,1.74555
0.0186,2.51053,2.07999,1.74671
0.0187,2.5093,1.93363,1.74836
0.0188,2.50737,1.86045,1.75121
0.0189,2.50684,1.78727,1.75425
0.019,2.50719,1.56773,1.75698
0.0191,2.50755,1.78727,1.75986
0.0192,2.50755,2.00681,1.76326
0.0193,2.50755,1.78727,1.76086
0.0194,2.50684,2.00681,1.75826
0.0195,2.50614,2.07999,1.76187
0.0196,2.50632,1.78727,1.76281
0.0197,2.50509,1.86045,1.76345
0.0198,2.50491,1.86045,1.76509
0.0199,2.50474,1.49455,1.76675
0.02,2.50438,1.86045,1.76846
0.0201,2.50421,1.86045,1.77034
0.0202,2.50561,1.86045,1.77234
0.0203,2.50649,1.78727,1.77454
0.0204,2.50702,1.86045,1.77667
0.0205,2.50702,1.78727,1.77913
0.0206,2.50667,1.64091,1.78217
0.0207,2.50667,1.78727,1.78514
0.0208,2.50579,1.78727,1.78641
0.0209,2.50474,1.78727,1.78851
0.021,2.50368,1.64091,1.79163
0.0211,2.50509,1.78727,1.79377
0.0212,2.50719,1.78727,1.79723
0.0213,2.50965,1.56773,1.80088
0.0214,2.51036,1.71409,1.80487
0.0215,2.51001,1.71409,1.80659
0.0216,2.51001,1.64091,1.80443
0.0217,2.50983,1.42137,1.80611
0.0218,2.50948,1.71409,1.80882
0.0219,2.50895,1.86045,1.80981
0.022,2.50842,1.56773,1.81149
0.0221,2.5079,1.56773,1.81391
0.0222,2.50719,1.56773,1.81585
0.0223,2.50649,1.12865,1.81663
0.0224,2.50579,1.42137,1.81851
0.0225,2.50509,1.86045,1.82078
0.0226,2.50438,1.71409,1.82252
0.0227,2.50351,1.71409,1.825
0.0228,2.50368,1.49455,1.8273
0.0229,2.50526,1.78727,1.82884
0.023,2.50597,1.86045,1.82984
0.0231,2.50614,1.56773,1.83055
0.0232,2.50561,1.64091,1.83385
0.0233,2.50456,1.49455,1.83742
0.0234,2.50263,1.56773,1.84123
0.0235,2.50122,1.71409,1.8463
0.0236,2.50034,1.64091,1.85136
0.0237,2.49982,1.20183,1.85466
0.0238,2.50034,1.56773,1.85399
0.0239,2.50087,1.49455,1.85466
0.024,2.50245,1.42137,1.85554
0.0241,2.50526,1.12865,1.85564
0.0242,2.50807,0.323668,1.85715
0.0243,2.50702,1.56773,1.86028
0.0244,2.50667,1.49455,1.86358
0.0245,2.50772,1.56773,1.86592
0.0246,2.50878,1.64091,1.86703
0.0247,2.50948,2.59225,1.86959
0.0248,2.5086,1.56773,1.87252
0.0249,2.5079,1.56773,1.87526
0.025,2.50719,1.56773,1.87825
0.0251,2.50895,1.56773,1.87999
0.0252,2.51018,1.49455,1.88108
0.0253,2.51071,1.56773,1.88116
0.0254,2.51088,1.42137,1.88241
0.0255,2.51036,1.56773,1.88402
0.0256,2.50842,1.49455,1.88638
0.0257,2.50702,0.396848,1.88924
0.0258,2.50684,1.64091,1.89209
0.0259,2.50737,2.00681,1.89392
0.026,2.50807,1.49455,1.89484
0.0261,2.50878,1.49455,1.89641
0.0262,2.5086,2.81179,1.8985
0.0263,2.50842,1.78727,1.90052
0.0264,2.5086,1.64091,1.90355
0.0265,2.50948,1.71409,1.90659
0.0266,2.51001,1.49455,1.90947
0.0267,2.51053,-0.261772,1.90922
0.0268,2.51123,1.42137,1.90854
0.0269,2.51194,1.56773,1.91062
0.027,2.51352,1.34819,1.9124
0.0271,2.51229,1.71409,1.91461
0.0272,2.51141,2.00681,1.91692
0.0273,2.51194,1.71409,1.91963
0.0274,2.51282,1.71409,1.92118
0.0275,2.51352,1.71409,1.92127
0.0276,2.51405,1.56773,1.92169
0.0277,2.51422,1.78727,1.92398
0.0278,2.51405,1.71409,1.92632
0.0279,2.51387,1.78727,1.929
0.028,2.51545,1.64091,1.9314
0.0281,2.51545,1.56773,1.93389
0.0282,2.51598,2.00681,1.93533
0.0283,2.51528,1.56773,1.93699
0.0284,2.51492,1.42137,1.93852
0.0285,2.5151,1.49455,1.93976
0.0286,2.51738,1.34819,1.9408
0.0287,2.52072,1.71409,1.94231
0.0288,2.52336,1.64091,1.94425
0.0289,2.52406,1.42137,1.94597
0.029,2.52336,1.34819,1.9477
0.0291,2.52265,1.42137,1.95139
0.0292,2.52195,1.86045,1.95475
0.0293,2.52125,1.56773,1.95789
0.0294,2.5209,1.34819,1.96125
0.0295,2.51932,1.34819,1.9655
0.0296,2.51914,1.42137,1.96853
0.0297,2.51879,1.56773,1.97141
0.0298,2.51826,1.12865,1.97417
0.0299,2.51703,1.34819,1.97787
0.03,2.51563,1.42137,1.98151
0.0301,2.51422,1.49455,1.98553
0.0302,2.51387,1.86045,1.98919
0.0303,2.51387,1.42137,1.9927
0.0304,2.51369,1.27501,1.99576
0.0305,2.51352,1.34819,1.99788
0.0306,2.51176,1.42137,2.00105
0.0307,2.51001,2.07999,2.00419
0.0308,2.50983,1.64091,2.00637
0.0309,2.50965,1.49455,2.00879
0.031,2.50684,1.42137,2.01283
0.0311,2.50403,1.56773,2.01662
0.0312,2.50122,2.29953,2.01983
0.0313,2.50157,1.71409,2.02257
0.0314,2.50228,1.20183,2.0253
