time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-21 12:04:09 +0100;
    0.000100;   -45.920401;     0.582789;    -3.481691; ; 
    0.000200;   -45.972720;     0.303100;    -3.408511; ; 
    0.000300;   -45.937840;     0.665051;    -3.335331; ; 
    0.000400;   -45.780884;     0.961193;    -3.481691; ; 
    0.000500;   -45.902961;     1.175073;    -3.335331; ; 
    0.000600;   -45.798324;     0.928288;    -3.335331; ; 
    0.000700;   -45.641368;     0.714408;    -3.335331; ; 
    0.000800;   -45.676247;     0.566337;    -3.554871; ; 
    0.000900;   -45.589049;     0.582789;    -3.408511; ; 
    0.001000;   -45.833203;     0.632146;    -3.262151; ; 
    0.001100;   -45.868082;     0.780217;    -3.554871; ; 
    0.001200;   -45.868082;     0.862479;    -3.335331; ; 
    0.001300;   -45.798324;     1.076359;    -3.408511; ; 
    0.001400;   -45.868082;     0.862479;    -3.335331; ; 
    0.001500;   -45.850643;     0.549885;    -3.481691; ; 
    0.001600;   -45.728566;     0.401814;    -3.408511; ; 
    0.001700;   -45.693687;     0.138576;    -3.774411; ; 
    0.001800;   -45.536731;     0.352457;    -3.481691; ; 
    0.001900;   -45.850643;     0.747313;    -3.554871; ; 
    0.002000;   -46.007599;     0.928288;    -3.554871; ; 
    0.002100;   -45.815764;     0.911836;    -3.262151; ; 
    0.002200;   -45.833203;     0.665051;    -3.408511; ; 
    0.002300;   -45.746005;     0.566337;    -3.262151; ; 
    0.002400;   -45.693687;     0.697956;    -3.262151; ; 
    0.002500;   -45.780884;     0.911836;    -3.481691; ; 
    0.002600;   -45.519291;     0.944741;    -3.628051; ; 
    0.002700;   -45.606489;     0.911836;    -3.188971; ; 
    0.002800;   -45.658807;     0.878931;    -3.262151; ; 
    0.002900;   -45.868082;     0.994098;    -3.847591; ; 
    0.003000;   -46.112236;     0.846027;    -3.262151; ; 
    0.003100;   -45.920401;     0.780217;    -3.481691; ; 
    0.003200;   -45.623928;     0.714408;    -3.262151; ; 
    0.003300;   -45.693687;     0.813122;    -3.847591; ; 
    0.003400;   -45.763445;     0.994098;    -3.335331; ; 
    0.003500;   -45.571610;     1.076359;    -3.481691; ; 
    0.003600;   -45.623928;     1.010550;    -3.481691; ; 
    0.003700;   -45.641368;     0.961193;    -3.554871; ; 
    0.003800;   -45.902961;     0.911836;    -3.408511; ; 
    0.003900;   -45.868082;     0.928288;    -3.335331; ; 
    0.004000;   -45.746005;     1.010550;    -3.262151; ; 
    0.004100;   -45.641368;     1.109264;    -3.628051; ; 
    0.004200;   -45.571610;     1.142169;    -3.481691; ; 
    0.004300;   -45.536731;     1.191526;    -3.554871; ; 
    0.004400;   -45.676247;     1.076359;    -3.408511; ; 
    0.004500;   -45.711126;     0.681503;    -3.262151; ; 
    0.004600;   -45.606489;     0.401814;    -3.701231; ; 
    0.004700;   -45.676247;     0.368909;    -3.042611; ; 
    0.004800;   -45.746005;     0.582789;    -3.188971; ; 
    0.004900;   -45.815764;     0.994098;    -3.115791; ; 
    0.005000;   -45.571610;     1.092812;    -3.554871; ; 
    0.005100;   -45.728566;     0.895384;    -3.701231; ; 
    0.005200;   -45.589049;     0.829574;    -3.335331; ; 
    0.005300;   -45.554170;     0.961193;    -3.262151; ; 
    0.005400;   -45.641368;     1.109264;    -3.335331; ; 
    0.005500;   -45.780884;     1.175073;    -3.115791; ; 
    0.005600;   -45.536731;     1.076359;    -3.481691; ; 
    0.005700;   -45.763445;     1.027002;    -3.335331; ; 
    0.005800;   -45.850643;     0.862479;    -3.481691; ; 
    0.005900;   -45.780884;     1.027002;    -3.481691; ; 
    0.006000;   -44.594994;     0.763765;    -3.481691; ; 
    0.006100;   -45.589049;     0.352457;    -3.847591; ; 
    0.006200;   -45.623928;     0.187933;    -3.188971; ; 
    0.006300;   -45.379775;     0.385361;    -3.408511; ; 
    0.006400;   -45.658807;     0.697956;    -3.115791; ; 
    0.006500;   -45.327456;     0.911836;    -3.262151; ; 
    0.006600;   -45.554170;     0.911836;    -3.847591; ; 
    0.006700;   -45.676247;     0.911836;    -3.554871; ; 
    0.006800;   -45.711126;     1.092812;    -3.262151; ; 
    0.006900;   -45.798324;     1.224430;    -3.262151; ; 
    0.007000;   -45.780884;     1.257335;    -3.188971; ; 
    0.007100;   -45.449533;     1.059907;    -3.920771; ; 
    0.007200;   -45.484412;     0.911836;    -3.188971; ; 
    0.007300;   -45.466972;     0.878931;    -3.335331; ; 
    0.007400;   -45.623928;     0.714408;    -2.823071; ; 
    0.007500;   -45.885522;     0.451171;    -3.335331; ; 
    0.007600;   -45.833203;     0.155029;    -3.993951; ; 
    0.007700;   -45.763445;     0.368909;    -3.042611; ; 
    0.007800;   -45.623928;     0.829574;    -3.262151; ; 
    0.007900;   -45.676247;     1.125716;    -3.335331; ; 
    0.008000;   -46.059917;     1.158621;    -3.335331; ; 
    0.008100;   -45.484412;     1.010550;    -3.847591; ; 
    0.008200;   -45.484412;     0.846027;    -3.554871; ; 
    0.008300;   -45.449533;     0.961193;    -3.408511; ; 
    0.008400;   -45.676247;     1.043455;    -3.115791; ; 
    0.008500;   -46.670302;     1.290240;    -3.335331; ; 
    0.008600;   -45.746005;     1.158621;    -3.993951; ; 
    0.008700;   -45.658807;     1.142169;    -3.408511; ; 
    0.008800;   -45.641368;     1.076359;    -3.115791; ; 
    0.008900;   -45.519291;     0.928288;    -3.408511; ; 
    0.009000;   -43.827654;     0.549885;    -3.115791; ; 
    0.009100;   -45.344895;     0.319552;    -3.628051; ; 
    0.009200;   -45.519291;     0.352457;    -3.188971; ; 
    0.009300;   -45.623928;     0.549885;    -3.481691; ; 
    0.009400;   -45.763445;     0.747313;    -3.554871; ; 
    0.009500;   -45.972720;     0.862479;    -3.262151; ; 
    0.009600;   -45.763445;     0.911836;    -3.042611; ; 
    0.009700;   -45.658807;     0.796670;    -3.262151; ; 
    0.009800;   -45.589049;     0.681503;    -3.481691; ; 
    0.009900;   -45.536731;     0.681503;    -3.481691; ; 
    0.010000;   -45.606489;     0.747313;    -3.481691; ; 
    0.010100;   -45.344895;     0.730860;    -3.408511; ; 
    0.010200;   -45.554170;     0.747313;    -3.188971; ; 
    0.010300;   -45.623928;     0.681503;    -3.115791; ; 
    0.010400;   -45.746005;     0.599242;    -3.408511; ; 
    0.010500;   -45.937840;     0.385361;    -3.335331; ; 
    0.010600;   -45.623928;     0.352457;    -3.408511; ; 
    0.010700;   -45.571610;     0.434718;    -3.188971; ; 
    0.010800;   -45.536731;     0.763765;    -3.554871; ; 
    0.010900;   -45.519291;     1.109264;    -3.481691; ; 
    0.011000;   -45.554170;     1.076359;    -3.408511; ; 
    0.011100;   -45.449533;     0.961193;    -3.408511; ; 
    0.011200;   -45.536731;     0.632146;    -3.335331; ; 
    0.011300;   -45.728566;     0.500528;    -3.262151; ; 
    0.011400;   -45.798324;     0.582789;    -3.262151; ; 
    0.011500;   -45.746005;     0.533432;    -3.335331; ; 
    0.011600;   -45.693687;     0.681503;    -3.481691; ; 
    0.011700;   -45.501851;     0.681503;    -3.335331; ; 
    0.011800;   -45.344895;     0.697956;    -3.262151; ; 
    0.011900;   -45.449533;     0.533432;    -3.335331; ; 
    0.012000;   -45.449533;     0.467623;    -3.481691; ; 
    0.012100;   -45.449533;     0.467623;    -3.408511; ; 
    0.012200;   -45.571610;     0.714408;    -3.262151; ; 
    0.012300;   -45.746005;     0.730860;    -3.188971; ; 
    0.012400;   -45.711126;     0.813122;    -3.335331; ; 
    0.012500;   -45.763445;     0.747313;    -3.481691; ; 
    0.012600;   -45.501851;     0.895384;    -3.481691; ; 
    0.012700;   -45.484412;     1.027002;    -3.335331; ; 
    0.012800;   -45.379775;     1.027002;    -3.481691; ; 
    0.012900;   -45.397214;     1.059907;    -3.262151; ; 
    0.013000;   -45.432093;     1.043455;    -3.408511; ; 
    0.013100;   -45.606489;     1.010550;    -2.749891; ; 
    0.013200;   -45.676247;     0.944741;    -3.408511; ; 
    0.013300;   -45.676247;     0.911836;    -3.408511; ; 
    0.013400;   -45.711126;     0.730860;    -3.481691; ; 
    0.013500;   -45.676247;     0.549885;    -3.335331; ; 
    0.013600;   -45.536731;     0.566337;    -3.481691; ; 
    0.013700;   -45.379775;     0.714408;    -3.701231; ; 
    0.013800;   -45.432093;     0.895384;    -3.188971; ; 
    0.013900;   -45.571610;     0.911836;    -3.335331; ; 
    0.014000;   -45.379775;     0.796670;    -3.408511; ; 
    0.014100;   -45.536731;     0.763765;    -3.408511; ; 
    0.014200;   -45.606489;     0.944741;    -3.262151; ; 
    0.014300;   -45.658807;     1.175073;    -3.554871; ; 
    0.014400;   -45.589049;     1.257335;    -3.188971; ; 
    0.014500;   -45.676247;     1.191526;    -3.335331; ; 
    0.014600;   -45.344895;     1.191526;    -3.042611; ; 
    0.014700;   -45.397214;     1.043455;    -3.115791; ; 
    0.014800;   -45.362335;     0.977645;    -3.188971; ; 
    0.014900;   -45.536731;     0.697956;    -3.408511; ; 
    0.015000;   -45.589049;     0.500528;    -3.481691; ; 
    0.015100;   -45.623928;     0.467623;    -3.115791; ; 
    0.015200;   -45.484412;     0.632146;    -3.481691; ; 
    0.015300;   -45.676247;     0.796670;    -3.408511; ; 
    0.015400;   -45.554170;     0.846027;    -3.335331; ; 
    0.015500;   -45.397214;     0.846027;    -3.335331; ; 
    0.015600;   -45.310016;     0.911836;    -3.554871; ; 
    0.015700;   -45.275137;     1.010550;    -3.481691; ; 
    0.015800;   -45.275137;     1.027002;    -3.554871; ; 
    0.015900;   -45.536731;     1.109264;    -3.408511; ; 
    0.016000;   -45.344895;     1.158621;    -3.554871; ; 
    0.016100;   -45.676247;     1.125716;    -3.481691; ; 
    0.016200;   -45.711126;     1.125716;    -3.115791; ; 
    0.016300;   -45.571610;     0.796670;    -3.188971; ; 
    0.016400;   -45.414654;     0.368909;    -3.188971; ; 
    0.016500;   -46.844698;     0.220838;    -3.408511; ; 
    0.016600;   -45.327456;     0.204386;    -3.554871; ; 
    0.016700;   -45.379775;     0.681503;    -3.188971; ; 
    0.016800;   -45.501851;     0.895384;    -3.335331; ; 
    0.016900;   -45.554170;     0.681503;    -3.408511; ; 
    0.017000;   -47.437643;     0.599242;    -3.188971; ; 
