time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-21 11:49:08 +0100;
    0.000100;   -32.840735;     0.599242;     1.128648; ; 
    0.000200;   -32.823295;     0.352457;     0.835928; ; 
    0.000300;   -32.648900;     0.155029;     0.689568; ; 
    0.000400;   -32.683779;     0.368909;     0.689568; ; 
    0.000500;   -32.927933;     0.615694;     0.689568; ; 
    0.000600;   -32.788416;     0.829574;     0.982288; ; 
    0.000700;   -32.840735;     0.846027;     0.689568; ; 
    0.000800;   -32.858174;     0.697956;     0.689568; ; 
    0.000900;   -32.962812;     0.730860;     0.689568; ; 
    0.001000;   -32.997691;     0.730860;     0.762748; ; 
    0.001100;   -32.840735;     0.763765;     0.762748; ; 
    0.001200;   -32.526823;     0.928288;     0.616388; ; 
    0.001300;   -32.666339;     1.027002;     0.396848; ; 
    0.001400;   -32.770977;     1.092812;     0.689568; ; 
    0.001500;   -32.701218;     1.125716;     0.835928; ; 
    0.001600;   -32.788416;     0.895384;     0.909108; ; 
    0.001700;   -32.875614;     0.730860;     0.689568; ; 
    0.001800;   -32.927933;     0.566337;     0.689568; ; 
    0.001900;   -32.736098;     0.582789;     0.616388; ; 
    0.002000;   -32.875614;     0.665051;     0.689568; ; 
    0.002100;   -32.683779;     0.829574;     0.616388; ; 
    0.002200;   -32.596581;     0.911836;     0.396848; ; 
    0.002300;   -32.858174;     0.977645;     0.909108; ; 
    0.002400;   -32.596581;     0.911836;     0.762748; ; 
    0.002500;   -32.631460;     0.961193;     0.762748; ; 
    0.002600;   -32.770977;     1.109264;     0.543208; ; 
    0.002700;   -32.736098;     1.207978;     0.470028; ; 
    0.002800;   -32.927933;     1.191526;     0.470028; ; 
    0.002900;   -32.701218;     1.240883;     0.470028; ; 
    0.003000;   -32.823295;     1.175073;     0.909108; ; 
    0.003100;   -32.648900;     0.862479;     0.909108; ; 
    0.003200;   -32.526823;     0.286647;     0.909108; ; 
    0.003300;   -32.631460;     0.006958;     0.909108; ; 
    0.003400;   -32.579142;     0.105672;     0.835928; ; 
    0.003500;   -32.718658;     0.516980;     0.835928; ; 
    0.003600;   -32.788416;     0.829574;     0.835928; ; 
    0.003700;   -32.805856;     0.862479;     0.762748; ; 
