Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,-7.74524,0.835928,7.709833
0.0002,-7.74524,1.055468,7.852419
0.0003,-7.759192,1.275008,7.828299
0.0004,-7.824964,1.128648,7.848553
0.0005,-7.844064,1.275008,7.903666
0.0006,-7.837194,1.128648,7.923771
0.0007,-7.82573,0.982288,7.90225
0.0008,-7.826625,1.201828,7.893054
0.0009,-7.840645,1.055468,7.911191
0.001,-7.849877,1.128648,7.919448
0.0011,-7.848216,1.055468,7.871286
0.0012,-7.839262,1.128648,7.86297
0.0013,-7.846389,1.201828,7.88429
0.0014,-7.861504,1.275008,7.911596
0.0015,-7.86431,1.201828,7.931727
0.0016,-7.861691,0.982288,7.945543
0.0017,-7.851463,1.128648,7.957181
0.0018,-7.850874,0.982288,7.970314
0.0019,-7.860247,1.128648,7.974918
0.002,-7.857926,1.055468,7.98031
0.0021,-7.850728,1.128648,7.979956
0.0022,-7.848255,1.201828,7.975047
0.0023,-7.855303,1.128648,7.979352
0.0024,-7.860267,1.275008,7.987491
0.0025,-7.85664,1.201828,7.982539
0.0026,-7.850219,1.055468,7.962166
0.0027,-7.850535,1.055468,7.965064
0.0028,-7.854634,1.128648,7.968949
0.0029,-7.856302,1.128648,7.969097
0.003,-7.851946,1.128648,7.968395
0.0031,-7.845017,0.835928,7.966929
0.0032,-7.846279,1.128648,7.972349
0.0033,-7.846389,1.128648,7.961996
0.0034,-7.844411,1.128648,7.948576
0.0035,-7.839009,1.128648,7.951669
0.0036,-7.839315,1.055468,7.95042
0.0037,-7.84056,0.835928,7.949916
0.0038,-7.840111,1.201828,7.952509
0.0039,-7.8381,1.201828,7.951762
0.004,-7.835087,1.128648,7.944179
0.0041,-7.834591,1.128648,7.938191
0.0042,-7.834959,1.201828,7.939231
0.0043,-7.834695,1.128648,7.939641
0.0044,-7.831035,0.689568,7.933979
0.0045,-7.827147,1.567727,7.929681
0.0046,-7.82688,1.275008,7.928827
0.0047,-7.827562,1.201828,7.927658
0.0048,-7.825278,1.275008,7.922898
0.0049,-7.821471,1.275008,7.919013
0.005,-7.820635,1.128648,7.919773
0.0051,-7.821692,1.275008,7.922747
0.0052,-7.823454,1.055468,7.928066
0.0053,-7.825215,1.275008,7.933246
0.0054,-7.824863,1.055468,7.936914
