time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-12 17:37:08 +0100;
    0.020100;    -0.316003;     1.421858;    -1.213112; ; 
    0.020200;    -0.350882;     1.158621;    -1.213112; ; 
    0.020300;    -0.525277;     0.681503;    -1.213112; ; 
    0.020400;    -0.542716;     0.500528;    -1.432652; ; 
    0.020500;    -0.577596;     0.944741;    -1.066752; ; 
    0.020600;    -0.490398;     1.537025;    -1.139932; ; 
    0.020700;    -0.455519;     1.767357;    -1.213112; ; 
    0.020800;    -0.350882;     1.750905;    -1.139932; ; 
    0.020900;    -0.298563;     1.569929;    -1.286292; ; 
    0.021000;    -0.333442;     1.487668;    -1.432652; ; 
    0.021100;    -0.438079;     1.504120;    -1.139932; ; 
    0.021200;    -0.542716;     1.487668;    -1.139932; ; 
    0.021300;    -0.577596;     1.487668;    -1.139932; ; 
    0.021400;    -0.595035;     1.520572;    -1.139932; ; 
    0.021500;    -0.629914;     1.602834;    -1.139932; ; 
    0.021600;    -0.455519;     1.602834;    -1.286292; ; 
    0.021700;    -0.385761;     1.059907;    -1.432652; ; 
    0.021800;    -0.385761;     0.303100;    -1.652192; ; 
    0.021900;    -0.316003;     0.204386;    -1.505832; ; 
    0.022000;    -0.455519;     1.043455;    -1.213112; ; 
    0.022100;    -0.403200;     1.701548;    -0.847212; ; 
    0.022200;    -0.525277;     1.866071;    -0.993572; ; 
    0.022300;    -0.682233;     1.602834;    -1.213112; ; 
    0.022400;    -0.507837;     1.240883;    -1.139932; ; 
    0.022500;    -0.595035;     1.191526;    -1.286292; ; 
    0.022600;    -0.403200;     1.191526;    -1.359472; ; 
    0.022700;    -0.350882;     1.323144;    -1.139932; ; 
    0.022800;    -0.368321;     1.356049;    -1.213112; ; 
    0.022900;    -0.141607;     1.356049;    -1.286292; ; 
    0.023000;    -0.455519;     1.438311;    -1.066752; ; 
    0.023100;    -0.525277;     1.372501;    -0.920392; ; 
    0.023200;    -0.507837;     1.257335;    -1.139932; ; 
    0.023300;    -0.560156;     1.175073;    -1.213112; ; 
    0.023400;    -0.560156;     1.043455;    -1.139932; ; 
    0.023500;    -0.455519;     1.207978;    -1.213112; ; 
    0.023600;    -0.438079;     1.273787;    -1.066752; ; 
    0.023700;    -0.350882;     1.405406;    -1.213112; ; 
    0.023800;    -0.350882;     1.405406;    -1.213112; ; 
    0.023900;    -0.298563;     1.602834;    -1.286292; ; 
    0.024000;    -0.472958;     1.685096;    -1.066752; ; 
    0.024100;    -0.507837;     1.520572;    -1.359472; ; 
    0.024200;    -0.490398;     1.668643;    -1.139932; ; 
    0.024300;    -0.507837;     1.882524;    -1.432652; ; 
    0.024400;    -0.438079;     1.750905;    -1.286292; ; 
    0.024500;    -0.560156;     1.816714;    -1.139932; ; 
    0.024600;    -0.403200;     1.767357;    -1.505832; ; 
