time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-12 17:36:17 +0100;
    0.000100;    -1.327495;     1.273787;     0.470028; ; 
    0.000200;    -1.571648;     1.323144;     0.470028; ; 
    0.000300;    -1.327495;     1.142169;     0.543208; ; 
    0.000400;    -1.240297;     1.109264;     0.616388; ; 
    0.000500;    -1.344934;     1.092812;     0.470028; ; 
    0.000600;    -1.606527;     1.207978;     0.689568; ; 
    0.000700;    -1.397253;     1.388954;     0.835928; ; 
    0.000800;    -1.484451;     1.356049;     0.470028; ; 
    0.000900;    -1.362374;     1.290240;     0.470028; ; 
    0.001000;    -1.205418;     1.175073;     0.470028; ; 
    0.001100;    -1.344934;     1.191526;     0.470028; ; 
    0.001200;    -1.083342;     1.175073;     0.323668; ; 
    0.001300;    -1.031023;     1.175073;     0.689568; ; 
    0.001400;    -1.083342;     1.158621;     0.470028; ; 
    0.001500;    -1.153100;     1.092812;     0.835928; ; 
    0.001600;    -1.379814;     1.076359;     0.543208; ; 
    0.001700;    -1.379814;     1.109264;     0.396848; ; 
    0.001800;    -1.379814;     1.010550;     0.543208; ; 
    0.001900;    -1.100781;     0.829574;     0.396848; ; 
    0.002000;    -0.961265;     0.813122;     0.470028; ; 
    0.002100;    -1.135660;     1.092812;     0.616388; ; 
    0.002200;    -0.926386;     1.471215;     0.543208; ; 
    0.002300;    -1.031023;     1.619286;     0.470028; ; 
    0.002400;    -1.083342;     1.652191;     0.543208; ; 
    0.002500;    -0.926386;     1.290240;     0.396848; ; 
    0.002600;    -1.153100;     1.109264;     0.616388; ; 
    0.002700;    -1.187979;     1.158621;     0.689568; ; 
    0.002800;    -1.187979;     1.290240;     0.543208; ; 
    0.002900;    -1.135660;     1.405406;     0.689568; ; 
    0.003000;    -1.013584;     1.438311;     0.616388; ; 
    0.003100;    -0.943825;     1.421858;     0.543208; ; 
    0.003200;    -0.996144;     1.454763;     0.250488; ; 
    0.003300;    -0.839188;     1.388954;     0.323668; ; 
    0.003400;    -1.065902;     1.125716;     0.689568; ; 
    0.003500;    -1.240297;     0.961193;     0.396848; ; 
    0.003600;    -1.187979;     0.977645;     0.616388; ; 
    0.003700;    -1.205418;     1.125716;     0.689568; ; 
    0.003800;    -1.083342;     1.306692;     0.762748; ; 
    0.003900;    -0.996144;     1.372501;     0.689568; ; 
    0.004000;    -0.978705;     1.257335;     0.396848; ; 
    0.004100;    -0.856628;     1.290240;     0.396848; ; 
    0.004200;    -0.856628;     1.290240;     0.323668; ; 
    0.004300;    -0.839188;     1.207978;     0.616388; ; 
    0.004400;    -1.187979;     1.356049;     0.835928; ; 
    0.004500;    -1.170539;     1.306692;     0.616388; ; 
    0.004600;    -1.170539;     1.339597;     0.689568; ; 
    0.004700;    -1.118221;     1.421858;     0.616388; ; 
    0.004800;    -1.048463;     1.356049;     0.470028; ; 
    0.004900;    -0.978705;     1.027002;     0.762748; ; 
    0.005000;    -0.908946;     0.599242;     0.396848; ; 
    0.005100;    -0.786870;     0.566337;     0.616388; ; 
    0.005200;    -0.874067;     0.928288;     0.470028; ; 
    0.005300;    -1.048463;     1.224430;     0.543208; ; 
    0.005400;    -1.170539;     1.454763;     0.689568; ; 
    0.005500;    -1.135660;     1.438311;     0.689568; ; 
    0.005600;    -1.100781;     1.191526;     0.470028; ; 
    0.005700;    -1.153100;     1.142169;     0.470028; ; 
    0.005800;    -1.153100;     1.092812;     0.396848; ; 
    0.005900;    -0.821749;     1.306692;     0.470028; ; 
    0.006000;    -0.874067;     1.421858;     0.396848; ; 
    0.006100;    -0.839188;     1.372501;     0.396848; ; 
    0.006200;    -0.908946;     1.421858;     0.616388; ; 
    0.006300;    -1.118221;     1.454763;     0.543208; ; 
    0.006400;    -1.257737;     1.339597;     0.689568; ; 
    0.006500;    -1.153100;     1.175073;     0.616388; ; 
    0.006600;    -1.065902;     0.994098;     0.543208; ; 
    0.006700;    -0.908946;     0.944741;     0.396848; ; 
    0.006800;    -0.804309;     0.994098;     0.323668; ; 
    0.006900;    -0.874067;     1.224430;     0.762748; ; 
    0.007000;    -0.821749;     1.224430;     0.323668; ; 
    0.007100;    -0.943825;     1.191526;     0.470028; ; 
    0.007200;    -1.013584;     1.191526;     0.323668; ; 
    0.007300;    -1.083342;     1.224430;     0.396848; ; 
    0.007400;    -1.170539;     1.257335;     0.543208; ; 
    0.007500;    -1.222858;     1.175073;     0.543208; ; 
    0.007600;    -1.048463;     1.224430;     0.543208; ; 
    0.007700;    -0.961265;     1.273787;     0.616388; ; 
    0.007800;    -0.908946;     1.142169;     0.470028; ; 
    0.007900;    -1.031023;     0.780217;     0.396848; ; 
    0.008000;    -0.839188;     0.319552;     0.470028; ; 
    0.008100;    -1.013584;     0.451171;     0.396848; ; 
    0.008200;    -1.135660;     0.846027;     0.689568; ; 
    0.008300;    -1.222858;     1.109264;     0.470028; ; 
    0.008400;    -1.187979;     1.224430;     0.616388; ; 
    0.008500;    -1.118221;     1.109264;     0.470028; ; 
    0.008600;    -0.978705;     0.961193;     0.470028; ; 
    0.008700;    -0.926386;     0.977645;     0.543208; ; 
    0.008800;    -0.804309;     0.961193;     0.616388; ; 
    0.008900;    -0.839188;     0.911836;     0.543208; ; 
    0.009000;    -0.926386;     0.911836;     0.396848; ; 
    0.009100;    -1.065902;     0.944741;     0.250488; ; 
    0.009200;    -0.978705;     1.059907;     0.323668; ; 
    0.009300;    -1.135660;     1.043455;     0.323668; ; 
    0.009400;    -1.013584;     0.451171;     0.250488; ; 
    0.009500;    -1.031023;    -0.025947;     0.250488; ; 
    0.009600;    -0.978705;     0.089219;     0.396848; ; 
    0.009700;    -0.856628;     0.730860;     0.762748; ; 
    0.009800;    -0.908946;     1.240883;     1.275008; ; 
    0.009900;    -0.891507;     1.306692;     0.689568; ; 
    0.010000;    -0.943825;     1.109264;     0.470028; ; 
    0.010100;    -0.996144;     0.796670;     0.396848; ; 
    0.010200;    -1.100781;     0.730860;    -0.115412; ; 
    0.010300;    -1.135660;     0.911836;     0.323668; ; 
    0.010400;    -1.048463;     0.961193;     0.689568; ; 
    0.010500;    -1.153100;     1.027002;     0.323668; ; 
    0.010600;    -0.908946;     1.092812;     0.470028; ; 
    0.010700;    -0.978705;     0.911836;     0.543208; ; 
    0.010800;    -0.978705;     0.911836;     0.470028; ; 
    0.010900;    -1.031023;     0.599242;     0.616388; ; 
    0.011000;    -1.275176;     0.122124;     0.616388; ; 
    0.011100;    -1.100781;     0.171481;     0.689568; ; 
    0.011200;    -1.135660;     0.665051;     0.835928; ; 
    0.011300;    -1.083342;     1.273787;     0.470028; ; 
    0.011400;    -0.891507;     1.438311;     0.616388; ; 
    0.011500;    -0.978705;     1.207978;     0.396848; ; 
    0.011600;    -0.978705;     0.928288;     0.543208; ; 
    0.011700;    -0.874067;     0.994098;     0.470028; ; 
    0.011800;    -0.978705;     1.043455;     0.543208; ; 
    0.011900;    -0.996144;     1.158621;     0.835928; ; 
    0.012000;    -1.083342;     1.240883;     0.689568; ; 
    0.012100;    -1.170539;     1.191526;     0.543208; ; 
    0.012200;    -1.414693;     1.125716;     0.543208; ; 
    0.012300;    -1.048463;     0.994098;     0.616388; ; 
    0.012400;    -0.996144;     0.714408;     0.616388; ; 
    0.012500;    -0.839188;     0.516980;     0.396848; ; 
    0.012600;    -0.786870;     0.714408;     0.470028; ; 
    0.012700;    -0.943825;     1.339597;     0.543208; ; 
    0.012800;    -1.135660;     1.750905;     0.543208; ; 
    0.012900;    -0.996144;     1.816714;     0.762748; ; 
    0.013000;    -1.170539;     1.602834;     0.689568; ; 
