time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-25 17:16:17 +0100;
    0.000100;   -32.579142;     0.204386;     0.470028; ; 
    0.000200;   -32.212911;     0.533432;     0.616388; ; 
    0.000300;   -32.439625;     1.109264;     0.689568; ; 
    0.000400;   -32.526823;     1.767357;     0.323668; ; 
    0.000500;   -32.770977;     1.668643;     0.177308; ; 
    0.000600;   -32.805856;     1.372501;     0.250488; ; 
    0.000700;   -32.579142;     1.125716;     0.323668; ; 
    0.000800;   -32.770977;     1.092812;     0.396848; ; 
    0.000900;   -32.561702;     1.339597;     0.543208; ; 
    0.001000;   -32.544263;     1.323144;     0.762748; ; 
    0.001100;   -32.509383;     1.487668;     0.470028; ; 
    0.001200;   -32.282669;     1.586382;     0.470028; ; 
    0.001300;   -32.544263;     1.553477;    -0.115412; ; 
    0.001400;   -32.648900;     1.273787;     0.616388; ; 
    0.001500;   -32.561702;     1.092812;     0.323668; ; 
    0.001600;   -32.875614;     0.961193;     0.470028; ; 
    0.001700;   -32.143153;     1.076359;     0.616388; ; 
    0.001800;   -32.666339;     1.471215;     0.177308; ; 
    0.001900;   -32.561702;     1.569929;     0.982288; ; 
    0.002000;   -32.648900;     1.356049;     0.616388; ; 
    0.002100;   -32.422186;     1.109264;     0.470028; ; 
    0.002200;   -31.881560;     1.323144;     0.470028; ; 
    0.002300;   -32.579142;     1.405406;    -0.042232; ; 
    0.002400;   -32.648900;     1.504120;     0.470028; ; 
    0.002500;   -32.770977;     1.471215;     0.323668; ; 
    0.002600;   -32.736098;     1.471215;     0.470028; ; 
    0.002700;   -32.753537;     1.537025;     0.323668; ; 
    0.002800;   -32.596581;     1.454763;     0.543208; ; 
    0.002900;   -32.422186;     1.356049;     0.177308; ; 
    0.003000;   -32.509383;     1.092812;     0.543208; ; 
    0.003100;   -32.439625;     0.697956;     0.689568; ; 
    0.003200;   -32.648900;     0.878931;     0.177308; ; 
    0.003300;   -32.561702;     1.027002;     0.104128; ; 
    0.003400;   -32.648900;     1.372501;     0.323668; ; 
    0.003500;   -32.788416;     1.537025;     0.250488; ; 
    0.003600;   -32.596581;     1.504120;     0.616388; ; 
    0.003700;   -31.811801;     1.372501;     0.470028; ; 
    0.003800;   -32.457065;     1.257335;    -0.042232; ; 
    0.003900;   -32.282669;     1.323144;     0.470028; ; 
    0.004000;   -32.614021;     1.290240;    -0.188592; ; 
    0.004100;   -32.474504;     1.356049;    -0.042232; ; 
    0.004200;   -31.654846;     1.471215;     0.177308; ; 
    0.004300;   -32.579142;     1.290240;     0.323668; ; 
    0.004400;   -32.753537;     1.257335;     0.543208; ; 
    0.004500;   -32.631460;     1.043455;     0.689568; ; 
    0.004600;   -32.526823;     1.027002;     0.396848; ; 
    0.004700;   -32.265230;     1.290240;     0.762748; ; 
    0.004800;   -32.317548;     1.487668;     0.030948; ; 
    0.004900;   -32.387307;     1.504120;     0.470028; ; 
    0.005000;   -32.439625;     1.257335;     0.543208; ; 
    0.005100;   -32.526823;     1.142169;     0.396848; ; 
    0.005200;   -32.387307;     1.207978;     0.543208; ; 
    0.005300;   -32.561702;     1.405406;     0.543208; ; 
    0.005400;   -32.561702;     1.504120;     0.543208; ; 
    0.005500;   -32.509383;     1.569929;     0.470028; ; 
    0.005600;   -32.404746;     1.537025;     0.470028; ; 
    0.005700;   -32.038516;     1.701548;     0.470028; ; 
    0.005800;   -32.457065;     1.767357;     0.177308; ; 
    0.005900;   -32.334988;     1.602834;     0.396848; ; 
    0.006000;   -32.509383;     1.207978;     0.689568; ; 
    0.006100;   -32.526823;     0.961193;     0.689568; ; 
    0.006200;   -32.300109;     0.862479;     0.835928; ; 
    0.006300;   -32.614021;     1.092812;     0.104128; ; 
    0.006400;   -32.491944;     1.306692;     0.323668; ; 
    0.006500;   -32.544263;     1.207978;     0.616388; ; 
    0.006600;   -32.352427;     1.109264;     0.396848; ; 
    0.006700;   -31.933878;     1.142169;     0.616388; ; 
    0.006800;   -32.369867;     1.207978;     0.250488; ; 
    0.006900;   -32.404746;     1.290240;     0.543208; ; 
    0.007000;   -32.422186;     1.339597;     0.396848; ; 
    0.007100;   -32.718658;     1.257335;     0.543208; ; 
    0.007200;   -32.614021;     1.405406;     0.689568; ; 
    0.007300;   -32.491944;     1.438311;     0.250488; ; 
    0.007400;   -32.422186;     1.388954;     0.616388; ; 
    0.007500;   -32.491944;     1.175073;     0.616388; ; 
    0.007600;   -32.439625;     1.372501;     0.396848; ; 
    0.007700;   -32.125713;     1.356049;     0.104128; ; 
    0.007800;   -32.422186;     1.586382;     0.543208; ; 
    0.007900;   -32.526823;     1.602834;     0.689568; ; 
    0.008000;   -32.596581;     1.586382;     0.543208; ; 
    0.008100;   -32.579142;     1.388954;     0.396848; ; 
    0.008200;   -32.736098;     1.257335;     0.543208; ; 
    0.008300;   -32.387307;     1.454763;    -0.334952; ; 
    0.008400;   -32.526823;     1.553477;     0.250488; ; 
    0.008500;   -32.317548;     1.718000;     0.323668; ; 
    0.008600;   -32.352427;     1.767357;     0.689568; ; 
    0.008700;   -32.369867;     1.833167;     0.835928; ; 
    0.008800;   -32.282669;     1.866071;     0.470028; ; 
    0.008900;   -32.561702;     1.783810;     0.689568; ; 
    0.009000;   -32.596581;     1.372501;     0.396848; ; 
    0.009100;   -32.631460;     0.796670;     0.104128; ; 
    0.009200;   -32.858174;     0.862479;     0.396848; ; 
    0.009300;   -32.474504;     1.191526;     0.177308; ; 
    0.009400;   -32.334988;     1.718000;     0.616388; ; 
    0.009500;   -32.317548;     1.931881;     0.470028; ; 
    0.009600;   -32.282669;     1.783810;     0.250488; ; 
    0.009700;   -32.003637;     1.635739;     0.470028; ; 
    0.009800;   -32.404746;     1.537025;    -0.188592; ; 
    0.009900;   -32.701218;     1.520572;     0.616388; ; 
    0.010000;   -32.491944;     1.537025;     0.323668; ; 
    0.010100;   -32.544263;     1.504120;     0.543208; ; 
    0.010200;   -32.178032;     1.520572;     0.689568; ; 
    0.010300;   -32.317548;     1.487668;     0.396848; ; 
    0.010400;   -32.212911;     1.372501;     0.616388; ; 
    0.010500;   -32.334988;     0.516980;     0.982288; ; 
    0.010600;   -32.334988;    -0.009495;     0.616388; ; 
    0.010700;   -32.422186;     0.122124;     0.689568; ; 
    0.010800;   -32.422186;     0.911836;     0.177308; ; 
    0.010900;   -32.526823;     1.553477;     0.323668; ; 
    0.011000;   -32.334988;     1.602834;     0.689568; ; 
    0.011100;   -32.422186;     1.191526;     0.470028; ; 
    0.011200;   -32.770977;     1.010550;     0.689568; ; 
    0.011300;   -32.265230;     1.059907;    -0.334952; ; 
    0.011400;   -32.334988;     1.240883;     0.689568; ; 
    0.011500;   -32.195472;     1.421858;     0.616388; ; 
    0.011600;   -32.334988;     1.306692;     0.470028; ; 
    0.011700;   -31.689725;     1.438311;     0.250488; ; 
    0.011800;   -32.404746;     1.388954;    -0.334952; ; 
    0.011900;   -32.369867;     1.356049;     0.396848; ; 
    0.012000;   -32.439625;     1.323144;     0.323668; ; 
    0.012100;   -32.509383;     1.142169;     0.835928; ; 
    0.012200;   -30.625912;     1.027002;     0.689568; ; 
    0.012300;   -32.212911;     1.191526;    -0.481312; ; 
    0.012400;   -32.230351;     1.504120;     0.616388; ; 
    0.012500;   -32.212911;     1.487668;     0.470028; ; 
    0.012600;   -32.369867;     1.372501;     0.177308; ; 
    0.012700;   -30.904945;     1.290240;     0.396848; ; 
    0.012800;   -32.439625;     1.175073;    -0.481312; ; 
    0.012900;   -32.561702;     1.438311;     0.323668; ; 
    0.013000;   -32.509383;     1.372501;     0.616388; ; 
    0.013100;   -32.474504;     1.388954;     0.616388; ; 
    0.013200;   -30.451517;     1.487668;     0.323668; ; 
    0.013300;   -32.178032;     1.388954;    -0.334952; ; 
    0.013400;   -32.247790;     1.487668;     0.470028; ; 
    0.013500;   -32.247790;     1.175073;     0.177308; ; 
    0.013600;   -32.439625;     0.878931;     0.104128; ; 
    0.013700;   -30.015528;     1.142169;    -0.334952; ; 
    0.013800;   -32.491944;     1.339597;    -0.627672; ; 
    0.013900;   -32.457065;     1.438311;     0.689568; ; 
    0.014000;   -32.334988;     1.487668;     0.762748; ; 
    0.014100;   -32.491944;     1.257335;     0.909108; ; 
    0.014200;   -30.346880;     1.175073;     0.689568; ; 
    0.014300;   -32.212911;     1.125716;    -0.554492; ; 
    0.014400;   -32.369867;     1.421858;     0.177308; ; 
