time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-25 17:16:53 +0100;
    0.000100;   -32.648900;     1.158621;     5.665806; ; 
    0.000200;   -32.840735;     1.043455;     5.373086; ; 
    0.000300;   -32.823295;     1.257335;     5.373086; ; 
    0.000400;   -32.840735;     1.619286;     5.446266; ; 
    0.000500;   -32.596581;     1.767357;     5.446266; ; 
    0.000600;   -32.683779;     1.800262;     5.153546; ; 
    0.000700;   -32.683779;     1.520572;     5.446266; ; 
    0.000800;   -32.509383;     1.421858;     5.446266; ; 
    0.000900;   -32.526823;     1.520572;     5.885346; ; 
    0.001000;   -32.369867;     1.635739;     5.812166; ; 
    0.001100;   -32.770977;     1.652191;     5.226726; ; 
    0.001200;   -32.788416;     1.520572;     5.446266; ; 
    0.001300;   -32.805856;     1.652191;     5.446266; ; 
    0.001400;   -32.805856;     1.668643;     5.446266; ; 
    0.001500;   -32.596581;     1.668643;     5.373086; ; 
    0.001600;   -32.526823;     1.191526;     5.665806; ; 
    0.001700;   -32.474504;     0.911836;     5.446266; ; 
    0.001800;   -32.457065;     0.928288;     5.592626; ; 
    0.001900;   -32.509383;     1.142169;     5.007186; ; 
    0.002000;   -32.579142;     1.388954;     5.592626; ; 
    0.002100;   -32.631460;     1.356049;     5.299906; ; 
    0.002200;   -32.683779;     1.290240;     5.446266; ; 
    0.002300;   -32.753537;     1.257335;     5.446266; ; 
    0.002400;   -32.718658;     1.487668;     5.446266; ; 
    0.002500;   -32.422186;     1.569929;     5.592626; ; 
    0.002600;   -32.526823;     1.471215;     5.592626; ; 
    0.002700;   -32.457065;     1.306692;     5.373086; ; 
    0.002800;   -32.491944;     1.339597;     5.519446; ; 
    0.002900;   -32.579142;     1.257335;     5.592626; ; 
    0.003000;   -32.648900;     1.388954;     5.446266; ; 
    0.003100;   -32.875614;     1.224430;     5.153546; ; 
    0.003200;   -32.666339;     1.207978;     5.299906; ; 
    0.003300;   -32.474504;     1.224430;     5.519446; ; 
    0.003400;   -32.561702;     1.372501;     5.592626; ; 
    0.003500;   -32.090834;     1.553477;     5.738986; ; 
    0.003600;   -32.334988;     1.586382;     5.738986; ; 
    0.003700;   -32.387307;     1.471215;     5.373086; ; 
    0.003800;   -32.300109;     1.372501;     5.519446; ; 
    0.003900;   -32.579142;     1.240883;     5.080366; ; 
    0.004000;   -32.526823;     1.323144;     5.299906; ; 
    0.004100;   -32.683779;     1.207978;     5.519446; ; 
    0.004200;   -32.561702;     1.323144;     5.519446; ; 
    0.004300;   -32.631460;     1.306692;     5.592626; ; 
    0.004400;   -32.404746;     1.421858;     5.665806; ; 
    0.004500;   -32.352427;     1.487668;     5.226726; ; 
    0.004600;   -32.317548;     1.207978;     5.958526; ; 
    0.004700;   -32.352427;     0.994098;     5.226726; ; 
    0.004800;   -32.457065;     0.994098;     5.373086; ; 
    0.004900;   -32.579142;     1.142169;     5.446266; ; 
    0.005000;   -32.683779;     1.356049;     5.446266; ; 
    0.005100;   -32.526823;     1.240883;     5.519446; ; 
    0.005200;   -32.404746;     1.175073;     5.299906; ; 
    0.005300;   -32.387307;     1.027002;     5.519446; ; 
    0.005400;   -32.369867;     1.158621;     5.519446; ; 
    0.005500;   -32.404746;     1.454763;     5.373086; ; 
    0.005600;   -32.404746;     1.767357;     5.373086; ; 
