Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,0,0.396848,1.91543
0.0002,-8.88178e-16,0.030948,2.19512
0.0003,0.01739,-0.408132,2.40614
0.0004,0.03478,-0.188592,2.43196
0.0005,0.0231867,-0.334952,2.45199
0.0006,-0.00158109,0.909108,2.47836
0.0007,-0.0147149,0.104128,2.50532
0.0008,-0.012753,0.030948,2.50125
0.0009,0.00102271,-0.188592,2.43186
0.001,0.0137288,0.470028,2.41454
0.0011,0.0215304,0.835928,2.41392
0.0012,0.018146,0.250488,2.42905
0.0013,0.0166944,0.104128,2.46298
0.0014,0.0154577,-0.042232,2.49554
0.0015,0.0161907,-0.334952,2.50823
0.0016,0.0151461,0.543208,2.47211
0.0017,0.0131742,-0.115412,2.4537
0.0018,0.0144088,-0.408132,2.47488
0.0019,0.01786,-0.261772,2.47427
0.002,0.0196195,-0.334952,2.47167
0.0021,0.0186624,0.470028,2.47543
0.0022,0.0181988,-0.334952,2.47909
0.0023,0.0193222,-0.334952,2.47383
0.0024,0.02072,-0.334952,2.46293
0.0025,0.0191645,-0.261772,2.46971
0.0026,0.0201178,0.982288,2.47189
0.0027,0.0226398,-0.188592,2.47549
0.0028,0.0265593,-0.042232,2.49264
0.0029,0.0286783,-0.188592,2.50998
0.003,0.0291798,-0.115412,2.52193
0.0031,0.0273679,0.689568,2.51098
0.0032,0.0295354,-0.115412,2.50354
0.0033,0.0310345,-0.042232,2.51345
0.0034,0.0316654,-0.115412,2.5115
0.0035,0.0307475,-0.481312,2.51043
0.0036,0.0308611,-0.188592,2.51001
0.0037,0.0314449,0.177308,2.50876
0.0038,0.0329251,-0.042232,2.5066
0.0039,0.0345542,0.250488,2.5049
0.004,0.0350002,-0.042232,2.50554
0.0041,0.0362829,0.030948,2.50687
0.0042,0.0383419,0.030948,2.50942
0.0043,0.039281,0.177308,2.51241
0.0044,0.0391775,0.323668,2.51523
0.0045,0.0386879,0.104128,2.51973
0.0046,0.0384109,-0.115412,2.50932
0.0047,0.0383329,-0.188592,2.49894
0.0048,0.0389903,-0.188592,2.50155
0.0049,0.0387242,0.030948,2.50267
0.005,0.0379419,-0.042232,2.50377
0.0051,0.0379419,0.030948,2.51759
0.0052,0.0374149,-0.261772,2.54256
0.0053,0.0368879,0.104128,2.57098
0.0054,0.0368879,0.470028,2.59692
0.0055,0.0360096,0.177308,2.61709
0.0056,0.0351314,-0.042232,2.62587
0.0057,0.0344287,0.543208,2.64405
0.0058,0.0342531,0.250488,2.67128
0.0059,0.0342531,0.104128,2.69078
0.006,0.0354827,0.177308,2.70739
0.0061,0.0361853,0.396848,2.72729
0.0062,0.0375906,0.543208,2.74682
0.0063,0.0389958,0.396848,2.75953
0.0064,0.0404011,-0.408132,2.77143
0.0065,0.0416307,0.177308,2.78735
0.0066,0.0418064,-0.115412,2.80176
0.0067,0.0423333,0.616388,2.81635
0.0068,0.0416307,0.470028,2.83203
0.0069,0.0409281,0.616388,2.85003
0.007,0.0402254,0.543208,2.86609
0.0071,0.0400498,0.543208,2.87371
0.0072,0.0409281,0.396848,2.88327
0.0073,0.0418063,0.543208,2.89641
0.0074,0.042509,0.470028,2.9088
0.0075,0.0440899,0.323668,2.92132
0.0076,0.0437386,0.250488,2.93668
0.0077,0.0440899,0.177308,2.94924
0.0078,0.0437386,0.323668,2.95811
0.0079,0.0433873,0.543208,2.96614
0.008,0.0430359,-0.042232,2.97727
0.0081,0.0437386,0.250488,2.9898
0.0082,0.0454951,0.030948,3.00185
0.0083,0.0469004,0.396848,3.01631
0.0084,0.0483057,0.104128,3.031
0.0085,0.0493596,0.104128,3.04341
0.0086,0.0497109,-0.042232,3.05346
0.0087,0.0498866,0.030948,3.06381
0.0088,0.0498866,0.030948,3.07662
0.0089,0.049184,0.104128,3.08716
0.009,0.0493596,0.104128,3.09863
0.0091,0.0498866,0.177308,3.11017
0.0092,0.0511162,0.250488,3.11968
0.0093,0.0518188,0.104128,3.12908
0.0094,0.0523458,0.177308,3.13876
0.0095,0.0532241,-0.042232,3.14812
0.0096,0.0532241,0.835928,3.15732
0.0097,0.0530484,0.470028,3.16649
0.0098,0.0526971,0.177308,3.1767
0.0099,0.0525214,-0.115412,3.18624
0.01,0.0532241,-0.042232,3.19411
0.0801,0.0530484,0.177308,3.20058
0.0802,0.0526971,0.177308,3.20844
0.0803,0.0523458,-0.334952,3.21808
0.0804,0.0511162,-0.408132,3.22793
0.0805,0.0507649,-0.115412,3.23925
0.0806,0.0500622,-0.408132,3.25384
0.0807,0.0488326,0.250488,3.26772
0.0808,0.047603,-0.115412,3.27371
0.0809,0.0477787,-0.261772,3.27431
0.081,0.0479544,-0.115412,3.2828
0.0811,0.0495353,-0.408132,3.2907
0.0812,0.0497109,-0.334952,3.29527
0.0813,0.0498866,-0.554492,3.30231
0.0814,0.0498866,-0.554492,3.30936
0.0815,0.0504136,-0.261772,3.31552
0.0816,0.0498866,0.104128,3.32088
0.0817,0.0493596,-0.261772,3.32643
0.0818,0.0488326,-0.188592,3.33351
0.0819,0.0484813,-0.481312,3.34033
0.082,0.04813,-0.334952,3.34684
0.0821,0.0470761,-0.188592,3.35499
0.0822,0.0472517,-0.408132,3.3619
0.0823,0.0460221,-0.481312,3.36637
0.0824,0.0461978,-0.408132,3.36735
0.0825,0.0453195,0.396848,3.37324
0.0826,0.0444412,-0.042232,3.37964
0.0827,0.0440899,-0.554492,3.38569
0.0828,0.0440899,-0.334952,3.393
0.0829,0.0451438,0.104128,3.39925
0.083,0.0451438,0.104128,3.4054
0.0831,0.0458465,-0.334952,3.40918
0.0832,0.0458465,-0.042232,3.41283
0.0833,0.0458465,-0.261772,3.41854
0.0834,0.0439142,-0.627672,3.42338
0.0835,0.0435629,-0.261772,3.42973
0.0836,0.0428603,-0.261772,3.43647
0.0837,0.0433873,-0.261772,3.44197
0.0838,0.0439142,-0.334952,3.446
0.0839,0.0446168,-0.188592,3.44778
0.084,0.0449682,-0.261772,3.45242
0.0841,0.0449682,-0.261772,3.45758
0.0842,0.0447925,-0.188592,3.4625
0.0843,0.0446168,-0.481312,3.46897
0.0844,0.0442655,-0.115412,3.47559
0.0845,0.0456708,-0.920392,3.4799
0.0846,0.0454951,-0.261772,3.47928
0.0847,0.0454951,-0.188592,3.4809
0.0848,0.0454951,-0.188592,3.48657
0.0849,0.0454951,-0.408132,3.49084
0.085,0.0458465,-0.700852,3.49614
0.0851,0.0454951,-0.481312,3.50249
0.0852,0.0463734,-0.554492,3.50827
0.0853,0.0467247,-0.700852,3.51172
0.0854,0.0470761,-0.334952,3.51149
0.0855,0.0472517,-0.334952,3.51462
0.0856,0.0474274,-0.188592,3.51829
0.0857,0.0483057,-0.554492,3.52088
0.0858,0.0497109,-0.408132,3.52371
0.0859,0.0511162,-0.042232,3.52676
0.086,0.0525214,-0.042232,3.52904
0.0861,0.0514675,0.030948,3.5317
0.0862,0.0504135,-0.334952,3.53464
0.0863,0.0490083,-0.261772,3.53822
0.0864,0.0474274,0.104128,3.54138
0.0865,0.0458464,-0.334952,3.54435
0.0866,0.0449682,-0.188592,3.5473
0.0867,0.0454951,-0.188592,3.55026
0.0868,0.0460221,-0.554492,3.55239
0.0869,0.0461978,-0.334952,3.55346
0.087,0.0456708,-0.334952,3.55636
0.0871,0.0437386,-0.261772,3.55933
0.0872,0.0418063,-0.188592,3.56137
0.0873,0.0411037,0.030948,3.56373
0.0874,0.0395228,-0.481312,3.56655
0.0875,0.0396984,-0.700852,3.56883
0.0876,0.0395228,-0.334952,3.57083
0.0877,0.0391715,-0.261772,3.57422
0.0878,0.0388201,-0.774032,3.57813
0.0879,0.0384688,-0.700852,3.58176
0.088,0.0377662,-0.700852,3.58677
0.0881,0.034253,-0.554492,3.59308
