Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,0,-0.261772,3.067092
0.0002,0.09274733,-0.042232,3.12753
0.0003,0.0765164,0.689568,3.214433
0.0004,0.08198186,0.543208,3.27784
0.0005,0.08695056,-1.286292,3.305071
0.0006,0.07430318,0.177308,3.263675
0.0007,0.06956046,0.323668,3.195631
0.0008,0.06608247,-0.115412,3.174249
0.0009,0.05626218,-0.261772,3.164301
0.001,0.04850932,0.104128,3.173766
0.0011,0.04554557,0.250488,3.188091
0.0012,0.04612161,0.982288,3.200286
0.0013,0.04104068,0.396848,3.188148
0.0014,0.03928881,-0.993572,3.159227
0.0015,0.04377517,-0.481312,3.151463
0.0016,0.04768265,0.250488,3.148947
0.0017,0.05217042,-0.188592,3.134398
0.0018,0.05117669,-0.261772,3.13549
0.0019,0.04512035,-0.042232,3.139181
0.002,0.04057697,0.323668,3.136694
0.0021,0.04326327,0.396848,3.114394
0.0022,0.04812619,0.689568,3.096372
0.0023,0.0490788,0.835928,3.087397
0.0024,0.04995034,0.323668,3.077435
0.0025,0.04720176,0.030948,3.068534
0.0026,0.04535071,0.470028,3.063961
0.0027,0.04560806,-0.042232,3.057485
0.0028,0.0477438,0.177308,3.046622
0.0029,0.04972967,0.470028,3.033345
0.003,0.04981239,0.030948,3.02745
0.0031,0.04931952,0.030948,3.022953
0.0032,0.04996208,0.177308,3.016
0.0033,0.04895986,0.323668,3.01637
0.0034,0.04594106,-0.627672,3.016962
0.0035,0.04586958,-0.042232,3.016062
0.0036,0.04580213,0.396848,3.01359
0.0037,0.04550015,-0.554492,3.013142
0.0038,0.04567801,0.030948,3.016282
0.0039,0.04720173,-0.115412,3.016644
0.004,0.04864829,-0.700852,3.021152
0.0041,0.05088219,0.470028,3.029399
0.0042,0.05028466,-0.554492,3.039996
0.0043,0.04869232,0.250488,3.042327
0.0044,0.04857238,-0.261772,3.034222
0.0045,0.04845783,0.396848,3.034985
0.0046,0.04911273,0.762748,3.036168
0.0047,0.04917847,0.250488,3.036259
0.0048,0.04796008,-0.481312,3.038012
0.0049,0.04768833,0.762748,3.039376
0.005,0.04918413,0.250488,3.039399
