Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,0,0.177308,0.549885
0.0002,0.0231867,0.030948,0.58556
0.0003,-0.0417364,0.177308,0.742326
0.0004,-0.0422331,-0.042232,0.778697
0.0005,-0.0367124,0.250488,0.762121
0.0006,-0.0411038,0.177308,0.808211
0.0007,-0.044144,-0.115412,0.838854
0.0008,-0.0544889,0.323668,0.85213
0.0009,-0.0583079,0.396848,0.853093
0.001,-0.0594924,0.470028,0.844547
0.0011,-0.0571388,0.323668,0.845076
0.0012,-0.0642677,0.177308,0.856589
0.0013,-0.0688647,0.250488,0.857871
0.0014,-0.0656959,0.689568,0.859505
0.0015,-0.0575672,0.250488,0.861842
0.0016,-0.056097,0.177308,0.863207
0.0017,-0.0621827,-0.042232,0.85854
0.0018,-0.0626043,0.177308,0.855939
0.0019,-0.0625103,0.396848,0.851231
0.002,-0.0610882,0.396848,0.848642
0.0021,-0.0619256,0.543208,0.865514
0.0022,-0.0647073,0.177308,0.890331
0.0023,-0.0626043,0.470028,0.909109
0.0024,-0.0584603,0.323668,0.899251
0.0025,-0.059978,0.250488,0.881335
0.0026,-0.0613767,0.323668,0.875792
0.0027,-0.062998,0.177308,0.874819
0.0028,-0.0613396,0.250488,0.875791
0.0029,-0.0567466,0.250488,0.879367
0.003,-0.0589494,0.250488,0.885831
0.0031,-0.0621482,-0.042232,0.884452
0.0032,-0.0623835,0.543208,0.86051
0.0033,-0.0623367,0.543208,0.853386
0.0034,-0.0615142,0.396848,0.861391
0.0035,-0.0627555,0.104128,0.861061
0.0036,-0.063682,0.470028,0.859273
0.0037,-0.063843,0.543208,0.867472
0.0038,-0.0612131,0.250488,0.874031
0.0039,-0.0593973,0.177308,0.861899
0.004,-0.0585539,0.250488,0.847569
0.0041,-0.058611,0.323668,0.852734
0.0042,-0.0592939,0.762748,0.855494
0.0043,-0.0599446,0.250488,0.858898
0.0044,-0.0603655,0.104128,0.871341
0.0045,-0.059009,0.323668,0.87946
0.0046,-0.0579032,0.323668,0.884579
0.0047,-0.056658,0.543208,0.879681
0.0048,-0.058394,0.250488,0.875332
0.0049,-0.0575486,0.030948,0.878247
0.005,-0.056386,0.250488,0.876266
0.0051,-0.0565617,0.177308,0.881826
0.0052,-0.0570886,0.250488,0.891289
0.0053,-0.0576156,0.250488,0.897578
0.0054,-0.0562103,0.470028,0.898805
0.0055,-0.0548051,0.250488,0.894988
0.0056,-0.0549807,0.323668,0.89837
0.0057,-0.0560347,0.470028,0.904567
0.0058,-0.0572643,0.470028,0.908763
0.0059,-0.0581426,0.323668,0.912144
0.006,-0.0588452,0.470028,0.916327
0.0061,-0.0590209,0.177308,0.920194
0.0062,-0.0586696,0.689568,0.917598
0.0063,-0.0577913,-0.042232,0.916211
0.0064,-0.05744,0.323668,0.922817
0.0065,-0.0570886,0.250488,0.924113
0.0066,-0.0565617,0.689568,0.925052
0.0067,-0.0560347,0.689568,0.929421
0.0068,-0.0556834,0.396848,0.933473
0.0069,-0.0553321,0.250488,0.936323
0.007,-0.0553321,0.543208,0.937317
0.0071,-0.0553321,0.323668,0.93875
0.0072,-0.0544538,0.396848,0.941443
0.0073,-0.0530485,0.323668,0.947385
0.0074,-0.0516432,0.470028,0.953151
0.0075,-0.0509406,0.323668,0.958666
0.0076,-0.0516433,0.030948,0.964307
0.0077,-0.0525215,0.177308,0.955891
0.0078,-0.0541025,0.396848,0.948585
0.0079,-0.0548051,0.177308,0.9528
0.008,-0.0546294,0.250488,0.953191
0.0081,-0.0539268,0.396848,0.951851
0.0082,-0.0523459,0.323668,0.950631
0.0083,-0.0509406,0.470028,0.949091
0.0084,-0.0514676,0.616388,0.946682
0.0085,-0.0519946,0.177308,0.94453
0.0086,-0.0526972,0.396848,0.947113
0.0087,-0.0530485,0.177308,0.949517
0.0088,-0.0530485,0.177308,0.952027
0.0089,-0.0528729,0.250488,0.957021
0.009,-0.0528729,0.323668,0.963159
0.0091,-0.0519946,0.470028,0.968669
0.0092,-0.0511163,0.323668,0.968028
0.0093,-0.0500624,0.689568,0.964575
0.0094,-0.0500624,0.323668,0.967456
0.0095,-0.0509406,0.982288,0.969715
0.0096,-0.0518189,-0.042232,0.970987
0.0097,-0.0526972,-0.334952,0.974625
0.0098,-0.051292,0.250488,0.977472
0.0099,-0.050765,0.396848,0.979643
0.01,-0.0495354,0.250488,0.97788
0.0101,-0.0484815,0.250488,0.978171
0.0102,-0.0476032,0.250488,0.978996
0.0103,-0.0467249,0.470028,0.976911
0.0104,-0.0458466,0.616388,0.975495
0.0105,-0.0472518,0.762748,0.975695
0.0106,-0.0486571,0.396848,0.975823
0.0107,-0.0500624,0.104128,0.976267
0.0108,-0.049711,0.323668,0.97808
0.0109,-0.0490084,0.177308,0.980113
0.011,-0.0486571,0.250488,0.982228
0.0111,-0.0463735,0.177308,0.983768
0.0112,-0.0449683,0.396848,0.987347
0.0113,-0.043563,0.250488,0.992024
0.0114,-0.0437387,0.323668,0.995501
0.0115,-0.0437387,0.323668,0.994116
0.0116,-0.0446169,0.396848,0.99342
0.0117,-0.0439143,0.250488,0.994937
0.0118,-0.0432117,0.177308,0.997264
0.0119,-0.042509,0.396848,1.00003
0.012,-0.0409281,0.470028,1.00334
0.0121,-0.0402255,0.323668,1.00818
0.0122,-0.0396985,0.470028,1.00746
0.0123,-0.0398742,0.470028,1.00383
0.0124,-0.0411038,0.323668,1.00883
0.0125,-0.0423334,0.250488,1.01389
0.0126,-0.043563,0.323668,1.01573
0.0127,-0.0442656,0.104128,1.01736
0.0128,-0.0437386,0.396848,1.0195
0.0129,-0.0428603,0.250488,1.02109
0.013,-0.0421577,0.323668,1.01961
0.0131,-0.0412794,0.177308,1.01966
0.0132,-0.0404012,1.12865,1.02127
0.0133,-0.0393472,0.323668,1.02136
0.0134,-0.0382933,0.470028,1.02119
0.0135,-0.0372393,0.323668,1.02225
0.0136,-0.0372393,0.323668,1.02493
0.0137,-0.0365367,0.470028,1.02419
0.0138,-0.0375907,0.470028,1.02252
0.0139,-0.0375907,0.543208,1.02372
0.014,-0.037942,0.470028,1.02497
0.0141,-0.0381176,0.470028,1.02572
0.0142,-0.0386446,0.396848,1.02706
0.0143,-0.0391716,0.616388,1.02908
0.0144,-0.0389959,0.104128,1.03099
0.0145,-0.0388203,0.323668,1.03088
0.0146,-0.0389959,0.543208,1.03152
0.0147,-0.0391716,0.543208,1.03389
0.0148,-0.0396985,0.689568,1.03702
0.0149,-0.0395229,0.616388,1.0407
0.015,-0.0393472,0.543208,1.04449
0.0151,-0.0398742,0.396848,1.04788
0.0152,-0.0405768,0.177308,1.05031
0.0153,-0.0414551,0.104128,1.05229
0.0154,-0.0423334,0.470028,1.05451
0.0155,-0.042509,0.470028,1.05758
0.0156,-0.0433873,0.543208,1.05943
0.0157,-0.0442656,0.396848,1.06147
0.0158,-0.0449682,0.616388,1.06442
0.0159,-0.0456709,0.470028,1.06785
0.016,-0.0447926,0.470028,1.06811
0.0161,-0.0461978,0.250488,1.06942
0.0162,-0.0470761,0.396848,1.07395
0.0163,-0.0476031,0.396848,1.07674
0.0164,-0.0476031,0.177308,1.07835
0.0165,-0.0479544,0.177308,1.08131
0.0166,-0.048657,0.030948,1.08481
0.0167,-0.0484814,0.616388,1.08678
0.0168,-0.048657,0.543208,1.08777
0.0169,-0.0488327,0.323668,1.08889
0.017,-0.0493597,0.396848,1.09012
0.0171,-0.0498866,0.543208,1.09226
0.0172,-0.0504136,0.323668,1.09629
0.0173,-0.0509406,0.250488,1.10009
0.0174,-0.0514675,0.104128,1.10371
0.0175,-0.0511162,0.396848,1.1041
0.0176,-0.0505892,0.323668,1.10235
0.0177,-0.0502379,0.250488,1.1026
0.0178,-0.0505892,0.835928,1.10361
0.0179,-0.0512918,0.323668,1.10537
0.018,-0.0516432,0.543208,1.10708
0.0181,-0.0525214,0.323668,1.10915
0.0182,-0.0528728,0.030948,1.11055
0.0183,-0.0521701,0.396848,1.10986
0.0184,-0.0509405,0.396848,1.10912
0.0185,-0.0497109,0.250488,1.11003
0.0186,-0.0495352,0.323668,1.11033
0.0187,-0.0507648,0.323668,1.11111
0.0188,-0.0516431,0.104128,1.11243
0.0189,-0.0526971,0.177308,1.11428
0.019,-0.0533997,0.323668,1.11365
0.0191,-0.0544537,0.689568,1.11323
0.0192,-0.055332,0.323668,1.11774
0.0193,-0.0562103,0.323668,1.12076
0.0194,-0.0562103,0.396848,1.12361
0.0195,-0.0555076,0.323668,1.12766
0.0196,-0.0565616,0.323668,1.13225
0.0197,-0.0576155,0.909108,1.13621
0.0198,-0.0586695,0.396848,1.13759
0.0199,-0.0593721,0.250488,1.13871
0.02,-0.060426,0.250488,1.1411
0.0201,-0.0607774,0.543208,1.14257
0.0202,-0.0611287,0.762748,1.14414
0.0203,-0.0598991,0.616388,1.14551
0.0204,-0.0581425,0.470028,1.1468
0.0205,-0.0567372,0.543208,1.14714
0.0206,-0.055332,0.396848,1.14616
0.0207,-0.0539267,0.616388,1.14797
0.0208,-0.0530484,0.396848,1.15006
0.0209,-0.0516432,0.470028,1.15096
0.021,-0.0521701,0.323668,1.15311
0.0211,-0.0537511,0.396848,1.15613
0.0212,-0.055332,0.396848,1.15823
0.0213,-0.0555076,0.470028,1.15788
0.0214,-0.0549807,0.689568,1.1576
0.0215,-0.054805,0.543208,1.15863
0.0216,-0.054805,0.470028,1.16029
0.0217,-0.0549807,0.616388,1.16309
0.0218,-0.0551563,0.762748,1.16625
0.0219,-0.055332,0.396848,1.16968
0.022,-0.0546294,0.689568,1.17082
0.0221,-0.0537511,0.470028,1.16815
0.0222,-0.0523458,0.762748,1.16944
0.0223,-0.0507649,0.470028,1.17128
0.0224,-0.0504136,0.396848,1.17221
0.0225,-0.0500623,0.543208,1.17423
0.0226,-0.0497109,0.323668,1.17667
0.0227,-0.0507649,0.616388,1.17915
0.0228,-0.0518188,0.250488,1.17947
0.0229,-0.0518188,0.396848,1.17914
0.023,-0.0502379,0.323668,1.18022
0.0231,-0.048657,0.323668,1.18103
0.0232,-0.0483057,0.470028,1.18274
0.0233,-0.04813,0.396848,1.18512
0.0234,-0.0488326,0.470028,1.18709
0.0235,-0.0484813,0.470028,1.18825
0.0236,-0.0495353,0.250488,1.18822
0.0237,-0.0498866,-0.115412,1.18882
0.0238,-0.0509405,0.104128,1.19059
0.0239,-0.0511162,0.250488,1.19149
0.024,-0.0500623,0.689568,1.19216
0.0241,-0.0490083,0.470028,1.1936
0.0242,-0.0472517,-0.042232,1.19488
0.0243,-0.0470761,0.470028,1.19528
0.0244,-0.0463734,0.396848,1.19546
0.0245,-0.0465491,0.470028,1.19675
0.0246,-0.0463734,0.616388,1.19774
0.0247,-0.0461978,0.543208,1.19845
0.0248,-0.0467247,0.323668,1.1993
0.0249,-0.0472517,0.250488,1.20035
