Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,0,3.10451,4.31747
0.0002,0.092747,2.88497,4.28468
0.0003,0.0869502,2.44589,4.33937
0.0004,0.0745287,2.66543,4.43214
0.0005,0.0927469,3.25087,4.48211
0.0006,0.105921,2.66543,4.48941
0.0007,0.108354,2.51907,4.41204
0.0008,0.1055,2.95815,4.37779
0.0009,0.117639,2.59225,4.39878
0.001,0.1199,2.51907,4.37812
0.0011,0.116762,2.44589,4.37255
0.0012,0.114926,2.66543,4.38556
0.0013,0.114774,2.44589,4.39535
0.0014,0.117866,2.51907,4.39279
0.0015,0.120531,2.66543,4.39059
0.0016,0.121731,2.66543,4.40605
0.0017,0.118569,2.51907,4.42561
0.0018,0.117756,2.59225,4.44224
0.0019,0.119381,2.59225,4.47491
0.002,0.120393,2.51907,4.50523
0.0021,0.123427,2.66543,4.52543
0.0022,0.126584,2.66543,4.51644
0.0023,0.129073,2.51907,4.50107
0.0024,0.132091,2.66543,4.51055
0.0025,0.133797,2.51907,4.50788
0.0026,0.134688,2.59225,4.50663
0.0027,0.134855,2.51907,4.5113
0.0028,0.136907,2.81179,4.51555
0.0029,0.138205,2.73861,4.50269
0.003,0.140005,2.51907,4.47516
0.0031,0.141401,2.73861,4.47623
0.0032,0.140777,2.51907,4.47896
0.0033,0.141796,2.51907,4.47894
0.0034,0.144831,2.51907,4.47867
0.0035,0.146178,2.66543,4.48062
0.0036,0.144999,2.81179,4.4817
0.0037,0.144838,2.51907,4.47541
0.0038,0.144222,2.81179,4.47443
0.0039,0.144089,2.73861,4.47506
0.004,0.143964,2.66543,4.47358
0.0041,0.144703,2.66543,4.48181
0.0042,0.145616,2.59225,4.49136
0.0043,0.145258,2.73861,4.5007
0.0044,0.145917,2.59225,4.50359
0.0045,0.145764,2.88497,4.48758
0.0046,0.145618,2.44589,4.4842
0.0047,0.144169,2.88497,4.48763
0.0048,0.141134,2.88497,4.48439
0.0049,0.141093,2.51907,4.4835
0.005,0.140877,2.81179,4.48287
0.0051,0.142107,3.10451,4.48078
0.0052,0.142283,2.66543,4.47657
0.0053,0.143161,2.22635,4.47556
0.0054,0.143337,3.03133,4.47959
0.0055,0.144039,2.95815,4.47937
0.0056,0.144917,2.37271,4.4807
0.0057,0.146147,2.51907,4.48434
0.0058,0.14685,2.66543,4.49216
0.0059,0.146498,2.81179,4.49868
0.006,0.146147,2.66543,4.4953
0.0061,0.14685,2.59225,4.49384
0.0062,0.147552,2.73861,4.49844
0.0063,0.148255,2.88497,4.49973
0.0064,0.149309,2.81179,4.50045
0.0065,0.150539,2.66543,4.50146
0.0066,0.150539,2.51907,4.50513
0.0067,0.149309,2.73861,4.50355
0.0068,0.148431,2.66543,4.49788
0.0069,0.149309,2.37271,4.49885
0.007,0.15089,2.51907,4.50002
0.0071,0.152119,2.88497,4.4981
0.0072,0.153525,2.44589,4.49789
0.0073,0.154403,2.22635,4.49877
0.0074,0.15493,2.73861,4.49817
0.0075,0.155984,2.88497,4.49376
0.0076,0.156862,2.51907,4.49332
0.0077,0.15774,2.59225,4.49622
0.0078,0.158794,2.66543,4.49399
0.0079,0.159146,2.51907,4.49153
0.008,0.160375,2.73861,4.49079
0.0081,0.160727,2.81179,4.49005
0.0082,0.162308,2.66543,4.48658
0.0083,0.163888,2.95815,4.48437
0.0084,0.165469,2.66543,4.48841
0.0085,0.165469,2.88497,4.49368
0.0086,0.165469,2.66543,4.49844
0.0087,0.165996,2.59225,4.50518
0.0088,0.16705,2.73861,4.51309
0.0089,0.168807,2.59225,4.51777
0.009,0.170563,2.95815,4.51562
0.0091,0.171442,2.81179,4.51409
0.0092,0.171793,2.59225,4.51493
0.0093,0.172847,2.51907,4.5163
0.0094,0.173374,3.03133,4.52002
0.0095,0.173023,2.88497,4.52484
0.0096,0.172671,2.29953,4.52922
0.0097,0.172496,2.88497,4.53037
0.0098,0.17232,2.88497,4.52881
0.0099,0.172144,2.73861,4.53112
0.01,0.171969,2.73861,4.53297
0.0101,0.17232,2.73861,4.53394
0.0102,0.172144,2.81179,4.53678
0.0103,0.173198,2.59225,4.54018
0.0104,0.172496,2.59225,4.5442
0.0105,0.171266,2.81179,4.53983
0.0106,0.170212,2.66543,4.53612
0.0107,0.170036,2.51907,4.54052
0.0108,0.170212,2.88497,4.54088
0.0109,0.170036,2.44589,4.54166
0.011,0.169509,2.81179,4.54361
0.0111,0.168456,2.73861,4.54616
0.0112,0.169685,2.95815,4.54749
0.0113,0.169861,2.66543,4.54471
0.0114,0.169158,2.81179,4.54561
0.0115,0.168456,2.59225,4.54967
0.0116,0.167577,2.81179,4.55087
0.0117,0.166699,3.03133,4.55241
0.0118,0.166348,3.10451,4.55494
0.0119,0.166172,2.81179,4.55722
0.012,0.167402,2.88497,4.55497
0.0121,0.16828,2.81179,4.55213
0.0122,0.169509,2.73861,4.5528
0.0123,0.169685,2.73861,4.55503
0.0124,0.168807,2.59225,4.55819
0.0125,0.166172,2.95815,4.56285
0.0126,0.166523,2.81179,4.56699
0.0127,0.166875,2.88497,4.57002
0.0128,0.16705,3.10451,4.56906
0.0129,0.16705,3.03133,4.56972
0.013,0.166699,2.88497,4.57189
0.0131,0.166348,3.03133,4.57182
0.0132,0.165645,3.03133,4.572
0.0133,0.164767,2.66543,4.5733
0.0134,0.164942,2.81179,4.57366
0.0135,0.163888,2.66543,4.57426
0.0136,0.162834,3.03133,4.57486
0.0137,0.163186,2.81179,4.57701
0.0138,0.163888,2.59225,4.58019
0.0139,0.164591,2.73861,4.5822
0.014,0.165118,2.95815,4.58442
0.0141,0.164942,2.73861,4.58919
0.0142,0.164767,2.88497,4.59064
0.0143,0.165821,2.88497,4.58437
0.0144,0.167226,3.10451,4.58412
0.0145,0.168631,3.03133,4.58718
0.0146,0.168631,2.66543,4.58706
0.0147,0.16705,2.95815,4.58841
