time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-21 10:59:56 +0100;
    0.000100;    -9.855423;     0.846027;     0.543208; ; 
    0.000200;    -9.785665;     0.533432;     0.543208; ; 
    0.000300;    -9.750786;     0.286647;     0.835928; ; 
    0.000400;    -9.733346;     0.368909;     0.470028; ; 
    0.000500;    -9.715907;     0.697956;     0.396848; ; 
    0.000600;    -9.750786;     0.763765;     0.616388; ; 
    0.000700;    -9.681028;     0.615694;     0.616388; ; 
    0.000800;    -9.855423;     0.566337;     0.616388; ; 
    0.000900;    -9.977500;     0.730860;     0.616388; ; 
    0.001000;    -9.837983;     0.780217;     0.323668; ; 
    0.001100;    -9.733346;     1.059907;     0.762748; ; 
    0.001200;    -9.715907;     1.092812;     0.762748; ; 
    0.001300;    -9.558951;     1.027002;     0.909108; ; 
    0.001400;    -9.593830;     1.027002;     0.762748; ; 
    0.001500;    -9.576391;     0.780217;     0.543208; ; 
    0.001600;    -9.471753;     0.270195;     0.616388; ; 
    0.001700;    -9.733346;    -0.075304;     0.470028; ; 
    0.001800;    -9.768225;     0.089219;     0.470028; ; 
    0.001900;    -9.785665;     0.451171;     0.689568; ; 
    0.002000;    -9.872863;     0.862479;     0.762748; ; 
    0.002100;    -9.942621;     0.961193;     0.689568; ; 
    0.002200;    -9.663588;     0.681503;     0.689568; ; 
    0.002300;    -9.454314;     0.500528;     0.543208; ; 
    0.002400;    -9.524072;     0.566337;     0.396848; ; 
    0.002500;    -9.576391;     0.730860;     0.616388; ; 
    0.002600;    -9.576391;     0.944741;     0.543208; ; 
    0.002700;    -9.890302;     0.961193;     0.616388; ; 
    0.002800;    -9.611270;     0.862479;     0.762748; ; 
    0.002900;    -9.803104;     0.763765;     0.616388; ; 
    0.003000;    -9.576391;     0.648599;     0.396848; ; 
    0.003100;    -9.558951;     0.747313;     0.470028; ; 
    0.003200;    -9.506632;     0.697956;     0.543208; ; 
    0.003300;    -9.524072;     0.747313;     0.835928; ; 
    0.003400;    -9.471753;     0.878931;     0.689568; ; 
    0.003500;    -9.454314;     1.027002;     0.689568; ; 
    0.003600;    -9.646149;     1.027002;     0.543208; ; 
    0.003700;    -9.663588;     0.730860;     0.616388; ; 
    0.003800;    -9.750786;     0.451171;     0.543208; ; 
    0.003900;    -9.698467;     0.697956;     0.616388; ; 
    0.004000;    -9.524072;     0.796670;     0.616388; ; 
    0.004100;    -9.576391;     0.928288;     0.762748; ; 
    0.004200;    -9.401995;     1.142169;     0.689568; ; 
    0.004300;    -9.454314;     1.059907;     0.616388; ; 
