time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-21 11:00:24 +0100;
    0.000100;    -9.890302;     0.714408;     0.470028; ; 
    0.000200;    -9.855423;     0.665051;     0.543208; ; 
    0.000300;    -9.733346;     0.533432;     0.470028; ; 
    0.000400;    -9.750786;     0.401814;     0.323668; ; 
    0.000500;    -9.628709;     0.270195;     0.470028; ; 
    0.000600;    -9.541511;     0.516980;     0.543208; ; 
    0.000700;    -9.785665;     0.763765;     0.470028; ; 
    0.000800;    -9.698467;     0.747313;     0.616388; ; 
    0.000900;    -9.750786;     0.697956;     0.543208; ; 
    0.001000;    -9.925181;     0.747313;     0.470028; ; 
    0.001100;    -9.907742;     0.763765;     0.689568; ; 
    0.001200;    -9.803104;     0.878931;     0.689568; ; 
    0.001300;    -9.803104;     0.944741;     0.470028; ; 
    0.001400;    -9.593830;     1.076359;     0.543208; ; 
    0.001500;    -9.576391;     1.109264;     0.396848; ; 
    0.001600;    -9.558951;     1.059907;     0.616388; ; 
    0.001700;    -9.454314;     0.928288;     0.543208; ; 
    0.001800;    -9.681028;     0.549885;     0.762748; ; 
    0.001900;    -9.837983;     0.352457;     0.396848; ; 
    0.002000;    -9.977500;     0.500528;     0.396848; ; 
    0.002100;    -9.803104;     0.796670;     0.543208; ; 
    0.002200;    -9.611270;     0.994098;     0.543208; ; 
    0.002300;    -9.663588;     0.994098;     0.543208; ; 
    0.002400;    -9.663588;     0.763765;     0.762748; ; 
    0.002500;    -9.541511;     0.714408;     0.543208; ; 
    0.002600;    -9.663588;     0.681503;     0.543208; ; 
    0.002700;    -9.733346;     0.730860;     0.543208; ; 
    0.002800;    -9.750786;     0.697956;     0.470028; ; 
    0.002900;    -9.768225;     0.730860;     0.470028; ; 
    0.003000;    -9.820544;     0.796670;     0.543208; ; 
    0.003100;    -9.628709;     0.714408;     0.177308; ; 
    0.003200;    -9.628709;     0.566337;     0.470028; ; 
    0.003300;    -9.628709;     0.368909;     0.323668; ; 
    0.003400;    -9.506632;     0.516980;     0.689568; ; 
    0.003500;    -9.541511;     0.763765;     0.762748; ; 
    0.003600;    -9.558951;     0.862479;     0.616388; ; 
    0.003700;    -9.715907;     0.747313;     0.470028; ; 
    0.003800;    -9.750786;     0.615694;     0.543208; ; 
    0.003900;    -9.855423;     0.632146;     0.396848; ; 
    0.004000;    -9.837983;     0.813122;     0.616388; ; 
    0.004100;    -9.576391;     1.076359;     0.616388; ; 
    0.004200;    -9.558951;     1.059907;     0.543208; ; 
    0.004300;    -9.576391;     1.010550;     0.470028; ; 
    0.004400;    -9.576391;     0.878931;     0.616388; ; 
    0.004500;    -9.506632;     0.961193;     0.396848; ; 
    0.004600;    -9.768225;     0.994098;     0.030948; ; 
    0.004700;    -9.750786;     0.714408;     0.543208; ; 
