Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,0,0.616388,3.4455
0.0002,-0.0115933,0.689568,3.44959
0.0003,-0.010434,0.689568,3.50183
0.0004,0.00248429,0.543208,3.43522
0.0005,0.00193222,0.616388,3.38083
0.0006,-0.00632364,0.543208,3.3894
0.0007,-0.0173901,0.616388,3.39976
0.0008,-0.0220275,0.689568,3.42257
0.0009,-0.0153442,0.689568,3.44124
0.001,-0.0128138,0.689568,3.45436
0.0011,-0.0132496,0.689568,3.43138
0.0012,-0.0173901,0.689568,3.37153
0.0013,-0.022955,0.470028,3.35424
0.0014,-0.0218987,0.689568,3.35148
0.0015,-0.0191891,0.762748,3.33825
0.0016,-0.0179511,0.616388,3.32606
0.0017,-0.0158092,0.470028,3.32196
0.0018,-0.0149059,0.616388,3.31398
0.0019,-0.0136301,0.762748,3.3018
0.002,-0.0138229,0.762748,3.29472
0.0021,-0.0131487,0.470028,3.29084
0.0022,-0.0101106,0.470028,3.28684
0.0023,-0.00888833,0.470028,3.29325
0.0024,-0.00851011,0.762748,3.30288
0.0025,-0.0102921,0.543208,3.31181
0.0026,-0.0122754,0.543208,3.31338
0.0027,-0.0104997,0.616388,3.29369
0.0028,-0.0079046,0.689568,3.27719
0.0029,-0.00701707,0.616388,3.26469
0.003,-0.00736869,0.396848,3.25402
0.0031,-0.00969285,0.689568,3.24637
0.0032,-0.0113174,0.616388,3.23771
0.0033,-0.0128419,0.616388,3.22957
0.0034,-0.0134968,0.543208,3.22681
0.0035,-0.0136096,0.543208,3.22951
0.0036,-0.0137161,0.543208,3.22766
0.0037,-0.0131021,0.543208,3.2243
0.0038,-0.0134483,0.616388,3.22628
0.0039,-0.0142282,0.616388,3.23216
0.004,-0.0134278,0.616388,3.23636
0.0041,-0.0122375,0.470028,3.23188
0.0042,-0.0115235,0.689568,3.22459
0.0043,-0.0122754,0.470028,3.22376
0.0044,-0.0143918,0.616388,3.22498
0.0045,-0.0160223,0.323668,3.2321
0.0046,-0.0166257,0.616388,3.23984
0.0047,-0.0168291,0.689568,3.25013
0.0048,-0.0168409,0.396848,3.25627
