Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0001,0,-0.993572,1.96479
0.0002,0.0115933,-0.700852,2.08682
0.0003,0.020868,-0.847212,2.26342
0.0004,0.0273273,-0.115412,2.32413
0.0005,0.032848,-0.700852,2.38824
0.0006,0.0426849,-0.847212,2.45672
0.0007,0.0294295,-0.774032,2.48592
0.0008,0.0266649,-0.774032,2.48293
0.0009,0.0317115,-0.042232,2.44037
0.001,0.030204,-0.774032,2.4217
0.0011,0.0331241,-0.700852,2.42784
0.0012,0.0378047,-0.993572,2.42925
0.0013,0.0306068,-0.993572,2.46201
0.0014,0.03156,0.030948,2.49046
0.0015,0.0335811,-0.847212,2.49811
0.0016,0.0291707,-0.920392,2.47086
0.0017,0.0326725,-0.920392,2.4478
0.0018,0.032793,-1.06675,2.45522
0.0019,0.0333704,-0.408132,2.45011
0.002,0.0396853,-0.700852,2.45867
0.0021,0.0441117,-0.847212,2.47165
0.0022,0.0452954,-1.06675,2.48022
0.0023,0.0444416,-1.13993,2.46165
0.0024,0.0395905,-0.261772,2.44401
0.0025,0.0422333,-0.774032,2.46323
0.0026,0.0405771,-0.993572,2.48207
0.0027,0.0387178,-0.627672,2.48378
0.0028,0.0373099,-1.28629,2.48914
0.0029,0.0390517,-0.115412,2.49939
0.003,0.0406754,-0.774032,2.50699
0.0031,0.0427628,-0.920392,2.49718
0.0032,0.0441656,-0.847212,2.49157
0.0033,0.0452145,-0.993572,2.49628
0.0034,0.0485368,-0.554492,2.49767
0.0035,0.0519185,-0.774032,2.49889
0.0036,0.0546199,-0.847212,2.50091
0.0037,0.0538381,-0.847212,2.50626
0.0038,0.0535617,-0.700852,2.49996
0.0039,0.0562358,-0.920392,2.49488
0.004,0.0548121,-0.774032,2.50479
0.0041,0.0558203,-0.774032,2.50646
0.0042,0.0561514,-0.700852,2.5057
0.0043,0.0564669,-0.920392,2.50826
0.0044,0.0567679,-0.920392,2.51563
0.0045,0.0566646,-0.847212,2.51836
0.0046,0.0556104,-0.920392,2.51192
0.0047,0.0542275,-0.774032,2.51207
0.0048,0.0534519,-0.774032,2.51739
0.0049,0.0555769,-0.993572,2.51741
0.005,0.0569133,-0.993572,2.52149
0.0051,0.0577916,-0.700852,2.52621
0.0052,0.0581429,-0.774032,2.53044
0.0053,0.0584942,-0.847212,2.52981
0.0054,0.0574403,-0.993572,2.52231
0.0055,0.0577916,-0.920392,2.5226
0.0056,0.0563864,-0.774032,2.52557
0.0057,0.056562,-0.847212,2.52673
0.0058,0.0574403,-0.774032,2.52775
0.0059,0.0577916,-0.993572,2.52932
0.006,0.0581429,-0.847212,2.5267
0.0061,0.0584943,-0.920392,2.51531
0.0062,0.0593726,-0.847212,2.51147
0.0063,0.0606022,-1.28629,2.51142
0.0064,0.0614804,-0.920392,2.50826
0.0065,0.0616561,-0.774032,2.50657
0.0066,0.0623587,-0.774032,2.50752
0.0067,0.0620074,-0.774032,2.50806
0.0068,0.0630614,-0.774032,2.50492
0.0069,0.0641153,-0.920392,2.50666
0.007,0.0649936,-0.847212,2.51172
0.0071,0.0639396,-0.847212,2.51159
0.0072,0.0628857,-0.920392,2.5109
