time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-25 16:45:01 +0100;
    0.000100;   -40.636215;     1.405406;     1.640907; ; 
    0.000200;   -40.845489;     0.846027;     1.640907; ; 
    0.000300;   -40.618775;     1.388954;     1.714087; ; 
    0.000400;   -41.002445;     1.175073;     1.640907; ; 
    0.000500;   -40.862929;     1.059907;     1.640907; ; 
    0.000600;   -40.880368;     1.158621;     1.714087; ; 
    0.000700;   -40.828050;     0.796670;     1.640907; ; 
    0.000800;   -40.636215;     1.257335;     1.714087; ; 
    0.000900;   -40.810610;     1.125716;     1.640907; ; 
    0.001000;   -40.618775;     1.076359;     1.860447; ; 
    0.001100;   -40.758292;     1.092812;     1.640907; ; 
    0.001200;   -40.758292;     0.615694;     1.640907; ; 
    0.001300;   -40.810610;     1.372501;     1.567727; ; 
    0.001400;   -40.862929;     1.421858;     1.640907; ; 
    0.001500;   -40.810610;     1.421858;     1.714087; ; 
    0.001600;   -40.793171;     1.421858;     1.860447; ; 
    0.001700;   -40.653654;     0.796670;     1.933627; ; 
    0.001800;   -40.601336;     1.175073;     2.226347; ; 
    0.001900;   -40.566456;     1.257335;     2.006807; ; 
    0.002000;   -40.653654;     1.388954;     1.640907; ; 
    0.002100;   -40.793171;     1.520572;     1.933627; ; 
    0.002200;   -40.758292;     1.323144;     1.421367; ; 
    0.002300;   -40.810610;     1.750905;     1.787267; ; 
    0.002400;   -40.723412;     1.569929;     1.860447; ; 
    0.002500;   -40.618775;     1.421858;     1.714087; ; 
    0.002600;   -40.845489;     1.421858;     1.860447; ; 
    0.002700;   -40.618775;     1.043455;     1.714087; ; 
    0.002800;   -40.496698;     1.586382;     1.640907; ; 
    0.002900;   -40.653654;     1.421858;     1.494547; ; 
    0.003000;   -40.810610;     1.421858;     1.640907; ; 
    0.003100;   -40.740852;     1.454763;     1.714087; ; 
    0.003200;   -40.723412;     1.207978;     1.567727; ; 
    0.003300;   -40.688533;     1.619286;     1.787267; ; 
    0.003400;   -40.775731;     1.405406;     1.567727; ; 
    0.003500;   -40.566456;     1.191526;     1.933627; ; 
    0.003600;   -40.531577;     1.306692;     1.567727; ; 
    0.003700;   -40.479259;     0.977645;     1.421367; ; 
    0.003800;   -40.496698;     1.405406;     1.860447; ; 
    0.003900;   -40.688533;     1.290240;     1.933627; ; 
    0.004000;   -40.810610;     1.273787;     1.787267; ; 
    0.004100;   -40.758292;     1.240883;     1.860447; ; 
    0.004200;   -40.653654;     0.813122;     1.567727; ; 
    0.004300;   -40.705973;     1.421858;     1.787267; ; 
    0.004400;   -40.549017;     1.487668;     1.787267; ; 
    0.004500;   -40.496698;     1.454763;     1.640907; ; 
    0.004600;   -40.409500;     1.520572;     1.640907; ; 
    0.004700;   -40.479259;     1.372501;     1.567727; ; 
    0.004800;   -40.461819;     1.372501;     1.567727; ; 
    0.004900;   -40.618775;     1.125716;     1.787267; ; 
    0.005000;   -40.862929;     1.027002;     1.860447; ; 
    0.005100;   -40.740852;     0.928288;     1.640907; ; 
    0.005200;   -40.583896;     1.273787;     1.567727; ; 
    0.005300;   -40.601336;     1.487668;     1.494547; ; 
    0.005400;   -40.426940;     1.553477;     1.640907; ; 
    0.005500;   -40.461819;     1.405406;     1.640907; ; 
    0.005600;   -40.531577;     1.290240;     1.714087; ; 
    0.005700;   -40.549017;     1.323144;     1.494547; ; 
    0.005800;   -40.688533;     1.504120;     1.494547; ; 
    0.005900;   -40.653654;     1.586382;     1.787267; ; 
    0.006000;   -40.740852;     1.421858;     2.006807; ; 
    0.006100;   -40.566456;     1.388954;     1.787267; ; 
    0.006200;   -40.601336;     1.323144;     1.640907; ; 
    0.006300;   -40.426940;     1.125716;     1.714087; ; 
    0.006400;   -40.514138;     0.862479;     1.055468; ; 
    0.006500;   -40.531577;     0.895384;     1.421367; ; 
    0.006600;   -40.461819;     1.224430;     1.567727; ; 
    0.006700;   -40.636215;     1.487668;     1.787267; ; 
    0.006800;   -40.618775;     1.668643;     2.006807; ; 
    0.006900;   -40.775731;     1.652191;     1.787267; ; 
    0.007000;   -40.688533;     1.668643;     1.640907; ; 
    0.007100;   -40.618775;     1.701548;     1.348188; ; 
    0.007200;   -40.583896;     1.964785;     1.494547; ; 
    0.007300;   -40.496698;     1.997690;     1.787267; ; 
    0.007400;   -40.392061;     1.948333;     1.567727; ; 
    0.007500;   -40.636215;     1.948333;     1.787267; ; 
    0.007600;   -40.549017;     1.964785;     1.714087; ; 
    0.007700;   -40.740852;     1.898976;     1.421367; ; 
    0.007800;   -40.583896;     1.586382;     1.640907; ; 
    0.007900;   -40.636215;     0.944741;     1.567727; ; 
    0.008000;   -40.601336;     0.648599;     1.640907; ; 
    0.008100;   -40.461819;     0.878931;     1.567727; ; 
    0.008200;   -40.549017;     1.273787;     1.567727; ; 
    0.008300;   -40.374621;     1.602834;     1.640907; ; 
    0.008400;   -40.392061;     1.569929;     1.787267; ; 
    0.008500;   -40.444380;     1.356049;     1.640907; ; 
    0.008600;   -40.549017;     1.191526;     1.640907; ; 
    0.008700;   -40.601336;     1.240883;     1.494547; ; 
    0.008800;   -40.566456;     1.438311;     1.567727; ; 
    0.008900;   -40.671094;     1.520572;     1.714087; ; 
    0.009000;   -40.618775;     1.537025;     2.226347; ; 
    0.009100;   -40.496698;     1.520572;     1.714087; ; 
    0.009200;   -40.392061;     1.504120;     1.640907; ; 
    0.009300;   -40.409500;     1.175073;     1.494547; ; 
    0.009400;   -40.444380;     0.615694;     1.640907; ; 
    0.009500;   -40.496698;     0.582789;     1.275008; ; 
    0.009600;   -40.636215;     1.010550;     1.421367; ; 
    0.009700;   -40.601336;     1.553477;     1.640907; ; 
    0.009800;   -40.601336;     1.701548;     1.640907; ; 
    0.009900;   -40.653654;     1.685096;     1.787267; ; 
    0.010000;   -40.514138;     1.454763;     1.714087; ; 
    0.080100;   -40.444380;     0.187933;     1.567727; ; 
    0.080200;   -40.444380;     0.862479;     1.860447; ; 
    0.080300;   -40.514138;     1.421858;     1.787267; ; 
    0.080400;   -40.304863;     1.898976;     1.933627; ; 
    0.080500;   -40.269984;     1.783810;     1.567727; ; 
    0.080600;   -40.269984;     1.388954;     1.787267; ; 
    0.080700;   -40.287424;     1.652191;     1.640907; ; 
    0.080800;   -40.461819;     1.356049;     1.714087; ; 
    0.080900;   -40.426940;     1.504120;     1.860447; ; 
    0.081000;   -40.444380;     1.718000;     1.567727; ; 
    0.081100;   -40.374621;     1.750905;     1.714087; ; 
    0.081200;   -40.374621;     1.964785;     1.640907; ; 
    0.081300;   -40.165347;     1.553477;     2.153167; ; 
    0.081400;   -40.392061;     1.504120;     1.714087; ; 
    0.081500;   -40.200226;     1.454763;     1.714087; ; 
    0.081600;   -40.392061;     1.339597;     1.714087; ; 
    0.081700;   -40.444380;     1.537025;     1.714087; ; 
    0.081800;   -40.444380;     1.388954;     1.933627; ; 
    0.081900;   -40.461819;     1.652191;     1.567727; ; 
    0.082000;   -40.392061;     1.816714;     1.714087; ; 
    0.082100;   -40.444380;     1.800262;     1.787267; ; 
    0.082200;   -40.392061;     2.063499;     2.153167; ; 
    0.082300;   -40.165347;     1.685096;     1.860447; ; 
    0.082400;   -40.165347;     1.833167;     1.860447; ; 
    0.082500;   -40.200226;     1.816714;     1.933627; ; 
    0.082600;   -40.426940;     1.849619;     1.640907; ; 
    0.082700;   -40.549017;     2.277380;     1.640907; ; 
    0.082800;   -40.444380;     1.816714;     1.567727; ; 
    0.082900;   -40.549017;     1.520572;     1.714087; ; 
    0.083000;   -40.304863;     0.928288;     2.006807; ; 
    0.083100;   -40.409500;     0.846027;     1.933627; ; 
    0.083200;   -40.182786;     1.339597;     1.933627; ; 
    0.083300;   -40.165347;     1.388954;     1.421367; ; 
    0.083400;   -40.252544;     1.767357;     1.494547; ; 
    0.083500;   -40.339742;     1.915428;     1.567727; ; 
    0.083600;   -40.461819;     1.701548;     1.860447; ; 
    0.083700;   -40.496698;     1.767357;     1.640907; ; 
    0.083800;   -40.444380;     1.471215;     1.787267; ; 
    0.083900;   -40.409500;     1.487668;     1.787267; ; 
    0.084000;   -40.339742;     1.635739;     1.714087; ; 
    0.084100;   -40.287424;     1.701548;     1.640907; ; 
    0.084200;   -40.252544;     1.849619;     1.714087; ; 
    0.084300;   -40.287424;     1.602834;     1.421367; ; 
    0.084400;   -40.252544;     1.421858;     1.567727; ; 
    0.084500;   -40.461819;     1.076359;     1.640907; ; 
    0.084600;   -40.479259;     0.747313;     1.640907; ; 
    0.084700;   -40.583896;     0.714408;     1.640907; ; 
    0.084800;   -40.339742;     1.059907;     1.860447; ; 
    0.084900;   -40.392061;     1.438311;     1.640907; ; 
    0.085000;   -40.235105;     1.619286;     1.640907; ; 
    0.085100;   -40.374621;     1.323144;     1.494547; ; 
    0.085200;   -40.113028;     1.142169;     1.714087; ; 
    0.085300;   -40.182786;     1.339597;     2.153167; ; 
    0.085400;   -40.304863;     1.471215;     1.860447; ; 
    0.085500;   -40.514138;     1.438311;     1.787267; ; 
    0.085600;   -40.409500;     1.454763;     1.860447; ; 
    0.085700;   -40.461819;     1.306692;     1.860447; ; 
    0.085800;   -40.217665;     1.339597;     1.787267; ; 
    0.085900;   -40.200226;     1.273787;     1.860447; ; 
    0.086000;   -40.269984;     1.175073;     1.494547; ; 
    0.086100;   -40.339742;     1.076359;     1.567727; ; 
    0.086200;   -40.182786;     1.191526;     1.787267; ; 
    0.086300;   -40.496698;     1.339597;     1.787267; ; 
    0.086400;   -40.496698;     1.454763;     1.860447; ; 
    0.086500;   -40.583896;     1.306692;     1.860447; ; 
    0.086600;   -40.461819;     1.175073;     2.226347; ; 
    0.086700;   -40.322303;     1.043455;     2.079987; ; 
    0.086800;   -40.078149;     1.207978;     1.860447; ; 
    0.086900;   -40.200226;     1.388954;     1.787267; ; 
    0.087000;   -40.095588;     1.569929;     1.567727; ; 
    0.087100;   -40.601336;     1.586382;     2.006807; ; 
    0.087200;   -40.392061;     1.569929;     1.714087; ; 
    0.087300;   -40.392061;     1.734453;     1.933627; ; 
    0.087400;   -40.200226;     1.537025;     1.787267; ; 
    0.087500;   -40.444380;     1.323144;     1.860447; ; 
    0.087600;   -40.409500;     1.027002;     1.860447; ; 
    0.087700;   -40.357182;     1.109264;     1.567727; ; 
    0.087800;   -40.200226;     1.537025;     1.421367; ; 
    0.087900;   -40.113028;     1.701548;     1.640907; ; 
    0.088000;   -40.217665;     1.685096;     1.640907; ; 
    0.088100;   -40.392061;     1.405406;     1.787267; ; 
    0.088200;   -40.357182;     1.273787;     1.787267; ; 
    0.088300;   -40.409500;     1.323144;     2.079987; ; 
    0.088400;   -40.496698;     1.388954;     1.787267; ; 
    0.088500;   -40.357182;     1.487668;     1.494547; ; 
    0.088600;   -40.409500;     1.586382;     1.494547; ; 
    0.088700;   -40.269984;     1.619286;     1.421367; ; 
    0.088800;   -40.235105;     1.685096;     1.860447; ; 
    0.088900;   -40.165347;     1.569929;     1.933627; ; 
    0.089000;   -40.252544;     1.421858;     1.714087; ; 
    0.089100;   -40.357182;     1.306692;     2.079987; ; 
    0.089200;   -40.496698;     1.224430;     1.640907; ; 
    0.089300;   -40.357182;     1.537025;     1.567727; ; 
    0.089400;   -40.409500;     1.652191;     1.860447; ; 
    0.089500;   -40.409500;     1.569929;     1.567727; ; 
    0.089600;   -40.322303;     1.438311;     1.933627; ; 
    0.089700;   -40.339742;     1.207978;     1.640907; ; 
    0.089800;   -40.217665;     1.224430;     1.933627; ; 
    0.089900;   -40.200226;     1.356049;     1.860447; ; 
    0.090000;   -40.304863;     1.487668;     1.860447; ; 
    0.090100;   -40.374621;     1.471215;     1.714087; ; 
    0.090200;   -40.479259;     1.602834;     1.714087; ; 
    0.090300;   -40.444380;     1.421858;     1.714087; ; 
    0.090400;   -40.496698;     1.339597;     1.494547; ; 
    0.090500;   -40.444380;     1.207978;     1.787267; ; 
    0.090600;   -40.252544;     1.175073;     1.787267; ; 
    0.090700;   -40.252544;     1.586382;     1.640907; ; 
    0.090800;   -40.217665;     1.405406;     1.640907; ; 
    0.090900;   -40.200226;     1.652191;     1.787267; ; 
    0.091000;   -40.217665;     1.701548;     1.567727; ; 
    0.091100;   -40.444380;     1.619286;     1.714087; ; 
    0.091200;   -40.531577;     1.701548;     1.787267; ; 
    0.091300;   -40.426940;     1.471215;     1.714087; ; 
    0.091400;   -40.426940;     1.586382;     1.714087; ; 
    0.091500;   -40.374621;     1.685096;     1.421367; ; 
    0.091600;   -40.113028;     1.701548;     2.006807; ; 
    0.091700;   -40.130468;     1.866071;     2.079987; ; 
    0.091800;   -40.147907;     1.635739;     1.640907; ; 
    0.091900;   -40.269984;     1.504120;     1.860447; ; 
    0.092000;   -40.252544;     1.356049;     1.860447; ; 
    0.092100;   -40.426940;     1.273787;     1.860447; ; 
    0.092200;   -40.461819;     1.405406;     1.787267; ; 
    0.092300;   -40.322303;     1.356049;     1.714087; ; 
    0.092400;   -40.374621;     1.619286;     1.714087; ; 
