time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2021-01-25 16:43:52 +0100;
    0.000100;   -40.845489;     1.273787;     2.079987; ; 
    0.000200;   -40.985006;     1.388954;     1.714087; ; 
    0.000300;   -41.002445;     1.438311;     1.787267; ; 
    0.000400;   -41.037324;     1.257335;     1.787267; ; 
    0.000500;   -41.159401;     1.191526;     1.714087; ; 
    0.000600;   -41.019885;     1.207978;     1.714087; ; 
    0.000700;   -40.915248;     1.240883;     1.860447; ; 
    0.000800;   -40.862929;     1.356049;     1.567727; ; 
    0.000900;   -40.828050;     1.356049;     1.714087; ; 
    0.001000;   -40.862929;     1.257335;     1.640907; ; 
    0.001100;   -40.845489;     1.240883;     1.640907; ; 
    0.001200;   -40.880368;     1.027002;     1.348188; ; 
    0.001300;   -41.159401;     0.615694;     1.567727; ; 
    0.001400;   -41.089643;     0.599242;     1.567727; ; 
    0.001500;   -41.141962;     0.961193;     1.714087; ; 
    0.001600;   -40.950127;     1.504120;     1.787267; ; 
    0.001700;   -40.880368;     1.619286;     1.714087; ; 
    0.001800;   -40.740852;     1.520572;     1.714087; ; 
    0.001900;   -40.723412;     1.323144;     1.640907; ; 
    0.002000;   -40.880368;     1.224430;     1.567727; ; 
    0.002100;   -40.967566;     1.290240;     1.567727; ; 
    0.002200;   -41.072204;     1.504120;     1.787267; ; 
    0.002300;   -41.089643;     1.487668;     1.933627; ; 
    0.002400;   -41.054764;     1.569929;     2.006807; ; 
    0.002500;   -40.932687;     1.520572;     1.714087; ; 
    0.002600;   -40.810610;     1.586382;     1.640907; ; 
    0.002700;   -40.723412;     1.273787;     1.640907; ; 
    0.002800;   -40.653654;     1.010550;     1.494547; ; 
    0.002900;   -40.688533;     0.895384;     1.714087; ; 
    0.003000;   -40.880368;     0.977645;     1.567727; ; 
    0.003100;   -40.932687;     1.240883;     1.787267; ; 
    0.003200;   -41.037324;     1.388954;     1.787267; ; 
    0.003300;   -41.019885;     1.323144;     1.714087; ; 
    0.003400;   -40.810610;     1.191526;     1.494547; ; 
    0.003500;   -40.915248;     1.076359;     2.079987; ; 
    0.003600;   -40.601336;     1.323144;     1.714087; ; 
    0.003700;   -40.723412;     1.553477;     1.494547; ; 
    0.003800;   -40.845489;     1.520572;     1.567727; ; 
    0.003900;   -40.775731;     1.487668;     1.640907; ; 
    0.004000;   -40.985006;     1.537025;     2.079987; ; 
    0.004100;   -40.932687;     1.586382;     1.787267; ; 
    0.004200;   -40.897808;     1.290240;     1.787267; ; 
    0.004300;   -40.932687;     0.665051;     1.640907; ; 
    0.004400;   -40.810610;     0.319552;     1.640907; ; 
    0.004500;   -40.793171;     0.434718;     2.079987; ; 
    0.004600;   -40.845489;     0.994098;     1.640907; ; 
    0.004700;   -40.688533;     1.356049;     1.787267; ; 
    0.004800;   -40.775731;     1.273787;     1.860447; ; 
    0.004900;   -40.880368;     1.059907;     1.714087; ; 
    0.005000;   -41.019885;     0.846027;     2.372707; ; 
    0.005100;   -40.967566;     0.747313;     1.567727; ; 
    0.005200;   -40.810610;     0.911836;     1.714087; ; 
    0.005300;   -40.758292;     1.092812;     1.787267; ; 
    0.005400;   -40.723412;     1.290240;     1.494547; ; 
    0.005500;   -40.740852;     0.977645;     1.933627; ; 
    0.005600;   -40.618775;     0.944741;     1.640907; ; 
    0.005700;   -40.810610;     0.961193;     1.640907; ; 
    0.005800;   -40.758292;     1.027002;     1.640907; ; 
    0.005900;   -40.845489;     1.207978;     1.787267; ; 
    0.006000;   -40.967566;     1.273787;     2.153167; ; 
    0.006100;   -40.880368;     1.290240;     1.860447; ; 
    0.006200;   -40.845489;     1.388954;     1.567727; ; 
    0.006300;   -40.758292;     1.290240;     1.787267; ; 
    0.006400;   -40.653654;     1.290240;     1.714087; ; 
    0.006500;   -40.636215;     1.257335;     2.226347; ; 
    0.006600;   -40.671094;     1.372501;     1.640907; ; 
    0.006700;   -40.758292;     1.487668;     1.494547; ; 
    0.006800;   -40.845489;     1.438311;     1.494547; ; 
    0.006900;   -40.723412;     1.454763;     1.640907; ; 
    0.007000;   -40.967566;     1.388954;     2.079987; ; 
    0.007100;   -40.915248;     1.421858;     1.714087; ; 
    0.007200;   -40.723412;     1.388954;     1.860447; ; 
    0.007300;   -40.793171;     1.142169;     1.714087; ; 
    0.007400;   -40.793171;     0.928288;     1.714087; ; 
    0.007500;   -40.671094;     1.059907;     1.860447; ; 
    0.007600;   -40.688533;     1.323144;     1.714087; ; 
    0.007700;   -40.845489;     1.586382;     1.640907; ; 
    0.007800;   -40.950127;     1.586382;     1.933627; ; 
    0.007900;   -40.845489;     1.421858;     1.933627; ; 
    0.008000;   -41.141962;     1.290240;     2.079987; ; 
    0.008100;   -40.775731;     1.273787;     1.640907; ; 
    0.008200;   -40.618775;     1.356049;     1.421367; ; 
    0.008300;   -40.758292;     1.438311;     1.567727; ; 
    0.008400;   -40.653654;     1.504120;     1.714087; ; 
    0.008500;   -40.601336;     1.635739;     1.860447; ; 
    0.008600;   -40.845489;     1.750905;     1.348188; ; 
    0.008700;   -40.897808;     1.537025;     1.787267; ; 
    0.008800;   -40.880368;     1.175073;     1.714087; ; 
    0.008900;   -40.932687;     0.928288;     1.714087; ; 
    0.009000;   -40.967566;     0.895384;     1.640907; ; 
    0.009100;   -40.793171;     1.158621;     1.567727; ; 
    0.009200;   -40.705973;     1.356049;     1.494547; ; 
    0.009300;   -40.636215;     1.306692;     1.567727; ; 
    0.009400;   -40.566456;     1.273787;     1.640907; ; 
    0.009500;   -40.705973;     1.142169;     1.714087; ; 
    0.009600;   -40.758292;     1.207978;     1.714087; ; 
    0.009700;   -40.862929;     1.092812;     1.640907; ; 
    0.009800;   -40.950127;     1.125716;     1.787267; ; 
    0.009900;   -40.793171;     1.142169;     1.933627; ; 
    0.010000;   -40.985006;     1.191526;     1.640907; ; 
    0.010100;   -40.828050;     1.372501;     1.567727; ; 
    0.010200;   -40.688533;     1.323144;     1.714087; ; 
    0.010300;   -40.653654;     1.207978;     1.714087; ; 
    0.010400;   -40.653654;     1.240883;     1.787267; ; 
    0.010500;   -40.793171;     1.273787;     1.714087; ; 
    0.010600;   -40.810610;     1.356049;     1.640907; ; 
    0.010700;   -40.880368;     1.421858;     1.640907; ; 
    0.010800;   -40.932687;     1.356049;     1.714087; ; 
    0.010900;   -40.740852;     1.257335;     1.494547; ; 
    0.011000;   -40.810610;     1.421858;     2.153167; ; 
    0.011100;   -40.793171;     1.553477;     1.640907; ; 
    0.011200;   -40.479259;     1.586382;     1.714087; ; 
    0.011300;   -40.618775;     1.569929;     1.860447; ; 
    0.011400;   -40.758292;     1.471215;     1.714087; ; 
    0.011500;   -40.793171;     1.553477;     1.860447; ; 
    0.011600;   -40.758292;     1.619286;     1.494547; ; 
    0.011700;   -40.758292;     1.602834;     1.567727; ; 
    0.011800;   -40.810610;     1.257335;     1.714087; ; 
    0.011900;   -40.775731;     1.191526;     1.567727; ; 
    0.012000;   -40.775731;     1.273787;     1.714087; ; 
    0.012100;   -40.740852;     1.471215;     1.714087; ; 
    0.012200;   -40.740852;     1.520572;     1.787267; ; 
    0.012300;   -40.583896;     1.421858;     1.787267; ; 
    0.012400;   -40.653654;     1.306692;     1.787267; ; 
    0.012500;   -40.775731;     1.339597;     1.640907; ; 
    0.012600;   -40.775731;     1.405406;     1.494547; ; 
    0.012700;   -41.037324;     1.504120;     1.348188; ; 
    0.012800;   -40.758292;     1.569929;     1.640907; ; 
    0.012900;   -40.653654;     1.750905;     1.933627; ; 
    0.013000;   -40.653654;     1.750905;     2.006807; ; 
    0.013100;   -40.653654;     1.652191;     1.860447; ; 
    0.013200;   -40.601336;     1.405406;     1.787267; ; 
    0.013300;   -40.671094;     1.092812;     1.640907; ; 
    0.013400;   -40.688533;     0.961193;     1.348188; ; 
    0.013500;   -40.793171;     0.961193;     1.933627; ; 
    0.013600;   -40.880368;     1.257335;     1.640907; ; 
    0.013700;   -40.740852;     1.504120;     1.640907; ; 
    0.013800;   -40.688533;     1.619286;     1.714087; ; 
    0.013900;   -40.444380;     1.685096;     1.787267; ; 
    0.014000;   -40.531577;     1.619286;     2.006807; ; 
    0.014100;   -40.688533;     1.701548;     1.787267; ; 
    0.014200;   -40.583896;     1.668643;     1.421367; ; 
    0.014300;   -40.705973;     1.701548;     1.494547; ; 
    0.014400;   -40.810610;     1.783810;     1.714087; ; 
    0.014500;   -40.845489;     1.718000;     1.714087; ; 
    0.014600;   -40.810610;     1.668643;     1.787267; ; 
    0.014700;   -40.775731;     1.339597;     1.860447; ; 
    0.014800;   -40.426940;     0.697956;     1.787267; ; 
    0.014900;   -40.601336;     0.385361;     2.079987; ; 
    0.015000;   -40.392061;     0.582789;     1.860447; ; 
    0.015100;   -40.531577;     1.240883;     1.421367; ; 
    0.015200;   -40.653654;     1.833167;     1.494547; ; 
    0.015300;   -40.775731;     1.898976;     1.567727; ; 
    0.015400;   -40.636215;     1.635739;     1.714087; ; 
    0.015500;   -40.810610;     1.257335;     2.299527; ; 
    0.015600;   -40.636215;     1.257335;     1.714087; ; 
    0.015700;   -40.653654;     1.257335;     1.714087; ; 
    0.015800;   -40.566456;     1.405406;     1.494547; ; 
    0.015900;   -40.531577;     1.586382;     1.640907; ; 
    0.016000;   -40.531577;     1.487668;     1.933627; ; 
    0.016100;   -40.636215;     1.421858;     1.640907; ; 
    0.016200;   -40.671094;     1.224430;     1.567727; ; 
    0.016300;   -41.019885;     1.043455;     1.640907; ; 
    0.016400;   -40.618775;     1.158621;     1.640907; ; 
    0.016500;   -40.653654;     1.339597;     1.860447; ; 
    0.016600;   -40.671094;     1.537025;     1.567727; ; 
    0.016700;   -40.566456;     1.619286;     1.640907; ; 
    0.016800;   -40.409500;     1.504120;     1.640907; ; 
    0.016900;   -40.461819;     1.438311;     1.421367; ; 
    0.017000;   -40.549017;     1.454763;     1.933627; ; 
    0.017100;   -40.828050;     1.537025;     1.860447; ; 
    0.017200;   -40.793171;     1.652191;     1.933627; ; 
    0.017300;   -40.688533;     1.718000;     1.787267; ; 
    0.017400;   -40.653654;     1.734453;     1.787267; ; 
    0.017500;   -40.671094;     1.718000;     1.640907; ; 
    0.017600;   -40.636215;     1.652191;     1.421367; ; 
    0.017700;   -40.583896;     1.537025;     1.567727; ; 
    0.017800;   -40.409500;     1.290240;     1.567727; ; 
    0.017900;   -40.531577;     1.175073;     1.714087; ; 
    0.018000;   -40.671094;     1.520572;     1.860447; ; 
    0.018100;   -40.845489;     1.471215;     1.933627; ; 
    0.018200;   -40.723412;     1.537025;     1.714087; ; 
    0.018300;   -40.671094;     1.504120;     1.421367; ; 
    0.018400;   -40.740852;     1.553477;     1.567727; ; 
    0.018500;   -40.618775;     1.668643;     1.714087; ; 
    0.018600;   -40.461819;     1.915428;     1.787267; ; 
    0.018700;   -40.479259;     2.047047;     1.933627; ; 
    0.018800;   -40.461819;     2.030595;     1.860447; ; 
    0.018900;   -40.583896;     1.898976;     1.640907; ; 
    0.019000;   -40.566456;     1.915428;     1.494547; ; 
    0.019100;   -40.897808;     1.981238;     1.494547; ; 
    0.019200;   -40.653654;     1.833167;     1.494547; ; 
    0.019300;   -40.583896;     1.372501;     1.567727; ; 
    0.019400;   -40.601336;     0.895384;     1.714087; ; 
    0.019500;   -40.409500;     0.697956;     1.714087; ; 
    0.019600;   -40.479259;     0.813122;     1.787267; ; 
    0.019700;   -40.461819;     1.158621;     1.714087; ; 
    0.019800;   -40.531577;     1.339597;     1.787267; ; 
    0.019900;   -40.601336;     1.273787;     1.640907; ; 
    0.020000;   -40.583896;     1.092812;     1.714087; ; 
    0.020100;   -40.880368;     1.142169;     1.567727; ; 
    0.020200;   -40.758292;     1.290240;     1.787267; ; 
    0.020300;   -40.601336;     1.438311;     1.714087; ; 
    0.020400;   -40.514138;     1.438311;     1.860447; ; 
    0.020500;   -40.304863;     1.454763;     1.787267; ; 
    0.020600;   -40.479259;     1.372501;     1.640907; ; 
    0.020700;   -40.549017;     1.224430;     1.567727; ; 
    0.020800;   -40.566456;     1.076359;     1.640907; ; 
    0.020900;   -40.601336;     1.027002;     1.640907; ; 
    0.021000;   -40.653654;     1.092812;     1.640907; ; 
    0.021100;   -40.897808;     1.290240;     1.787267; ; 
    0.021200;   -40.636215;     1.438311;     1.860447; ; 
    0.021300;   -40.496698;     1.454763;     1.640907; ; 
    0.021400;   -40.514138;     1.323144;     1.787267; ; 
    0.021500;   -40.479259;     1.175073;     1.714087; ; 
    0.021600;   -40.444380;     1.240883;     1.714087; ; 
    0.021700;   -40.461819;     1.372501;     1.640907; ; 
    0.021800;   -40.531577;     1.356049;     1.787267; ; 
    0.021900;   -40.705973;     1.421858;     1.494547; ; 
    0.022000;   -40.758292;     1.372501;     1.494547; ; 
    0.022100;   -40.740852;     1.356049;     1.421367; ; 
    0.022200;   -40.775731;     1.207978;     1.494547; ; 
    0.022300;   -40.514138;     0.763765;     1.860447; ; 
    0.022400;   -40.392061;     0.665051;     1.787267; ; 
    0.022500;   -40.479259;     0.961193;     1.567727; ; 
