time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-16 17:06:32 +0100;
    0.000100;     7.942986;     0.697956;     0.323668; ; 
    0.000200;     8.029937;     0.763765;    -0.042232; ; 
    0.000300;     7.995156;     0.763765;     0.030948; ; 
    0.000400;     7.908206;     0.615694;     0.104128; ; 
    0.000500;     7.960376;     0.665051;     0.177308; ; 
    0.000600;     7.821255;     0.681503;     0.177308; ; 
    0.000700;     7.769085;     0.730860;     0.177308; ; 
    0.000800;     7.716914;     0.697956;     0.616388; ; 
    0.000900;     7.942986;     0.747313;     0.250488; ; 
    0.001000;     8.029937;     0.714408;     0.177308; ; 
    0.001100;     8.099497;     0.665051;     0.104128; ; 
    0.001200;     8.012547;     0.500528;     0.177308; ; 
    0.001300;     7.908206;     0.253743;     0.030948; ; 
    0.001400;     7.734304;     0.336004;     0.177308; ; 
    0.001500;     7.995156;     0.615694;     0.177308; ; 
    0.001600;     7.890816;     0.862479;     0.104128; ; 
    0.001700;     7.734304;     0.714408;     0.250488; ; 
    0.001800;     7.873426;     0.648599;     0.104128; ; 
    0.001900;     8.064717;     0.665051;     0.104128; ; 
    0.002000;     7.960376;     0.747313;     0.177308; ; 
    0.002100;     8.047327;     0.796670;     0.104128; ; 
    0.002200;     8.047327;     0.763765;     0.104128; ; 
    0.002300;     7.925596;     0.829574;     0.177308; ; 
    0.002400;     7.908206;     0.862479;     0.177308; ; 
    0.002500;     7.908206;     0.994098;     0.396848; ; 
    0.002600;     7.856035;     0.944741;     0.177308; ; 
    0.002700;     7.856035;     0.549885;     0.250488; ; 
    0.002800;     8.012547;     0.303100;     0.250488; ; 
    0.002900;     7.942986;     0.204386;     0.177308; ; 
    0.003000;     8.099497;     0.303100;     0.104128; ; 
    0.003100;     8.151668;     0.484075;     0.250488; ; 
    0.003200;     7.977766;     0.500528;     0.177308; ; 
    0.003300;     7.925596;     0.549885;     0.250488; ; 
    0.003400;     7.960376;     0.500528;     0.250488; ; 
    0.003500;     7.734304;     0.500528;     0.104128; ; 
    0.003600;     7.786475;     0.665051;     0.250488; ; 
    0.003700;     7.925596;     0.730860;     0.104128; ; 
    0.003800;     8.169058;     0.681503;     0.177308; ; 
    0.003900;     8.064717;     0.681503;     0.250488; ; 
