time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-16 17:07:28 +0100;
    0.000100;     7.856035;     0.895384;     0.250488; ; 
    0.000200;     7.856035;     0.829574;     0.030948; ; 
    0.000300;     7.821255;     0.714408;     0.177308; ; 
    0.000400;     7.786475;     0.615694;     0.104128; ; 
    0.000500;     7.751695;     0.681503;     0.177308; ; 
    0.000600;     7.543013;     0.615694;     0.323668; ; 
    0.000700;     7.629964;     0.648599;     0.396848; ; 
    0.000800;     7.664744;     0.665051;     0.396848; ; 
    0.000900;     7.577793;     0.813122;     0.543208; ; 
    0.001000;     7.856035;     0.796670;     0.250488; ; 
    0.001100;     7.838645;     0.467623;     0.323668; ; 
    0.001200;     7.925596;     0.187933;     0.177308; ; 
    0.001300;     7.856035;     0.187933;     0.177308; ; 
    0.001400;     7.786475;     0.599242;     0.396848; ; 
    0.001500;     7.682134;     0.763765;     0.323668; ; 
    0.001600;     7.612574;     0.829574;     0.396848; ; 
    0.001700;     7.682134;     0.599242;     0.250488; ; 
    0.001800;     7.821255;     0.368909;     0.396848; ; 
    0.001900;     7.942986;     0.566337;     0.396848; ; 
    0.002000;     7.960376;     0.500528;     0.689568; ; 
    0.002100;     7.995156;     0.566337;     0.177308; ; 
    0.002200;     7.977766;     0.582789;     0.104128; ; 
    0.002300;     7.716914;     0.566337;     0.250488; ; 
    0.002400;     7.821255;     0.566337;     0.543208; ; 
    0.002500;     7.769085;     0.599242;     0.177308; ; 
    0.002600;     7.716914;     0.566337;     0.250488; ; 
    0.002700;     7.716914;     0.681503;     0.396848; ; 
    0.002800;     7.786475;     0.763765;     0.396848; ; 
    0.002900;     7.925596;     0.648599;     0.762748; ; 
    0.003000;     8.099497;     0.615694;     0.250488; ; 
    0.003100;     7.995156;     0.632146;     0.250488; ; 
    0.003200;     7.960376;     0.533432;     0.104128; ; 
    0.003300;     7.629964;     0.681503;     0.250488; ; 
    0.003400;     7.873426;     0.516980;     0.689568; ; 
    0.003500;     7.682134;     0.632146;     0.250488; ; 
    0.003600;     7.560403;     0.549885;     0.177308; ; 
    0.003700;     7.925596;     0.648599;     0.250488; ; 
    0.003800;     7.647354;     0.714408;     0.177308; ; 
    0.003900;     7.942986;     0.681503;     0.762748; ; 
    0.004000;     8.064717;     0.385361;     0.323668; ; 
    0.004100;     8.012547;    -0.157566;     0.177308; ; 
    0.004200;     7.664744;    -0.437255;     0.177308; ; 
    0.004300;     7.647354;     0.039862;     0.250488; ; 
    0.004400;     7.682134;     0.796670;     0.396848; ; 
    0.004500;     7.769085;     1.339597;     0.250488; ; 
    0.004600;     7.769085;     1.224430;     0.250488; ; 
    0.004700;     8.029937;     0.697956;     0.250488; ; 
    0.004800;     7.821255;     0.500528;     0.250488; ; 
    0.004900;     7.995156;     0.385361;     0.470028; ; 
    0.005000;     7.977766;     0.566337;     0.250488; ; 
