time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-16 17:07:00 +0100;
    0.000100;     8.012547;     1.290240;     0.250488; ; 
    0.000200;     8.290789;     1.224430;    -0.042232; ; 
    0.000300;     8.151668;     0.846027;     0.323668; ; 
    0.000400;     8.325569;     0.401814;     0.323668; ; 
    0.000500;     8.290789;     0.286647;     0.250488; ; 
    0.000600;     7.803865;     0.484075;     0.250488; ; 
    0.000700;     8.082107;     0.862479;     0.250488; ; 
    0.000800;     8.064717;     0.977645;     0.323668; ; 
    0.000900;     8.151668;     1.010550;     0.104128; ; 
    0.001000;     8.134278;     0.829574;     0.177308; ; 
    0.001100;     8.169058;     0.862479;     0.177308; ; 
    0.001200;     8.238618;     0.895384;     0.177308; ; 
    0.001300;     8.238618;     0.977645;     0.250488; ; 
    0.001400;     8.482080;     0.977645;     0.250488; ; 
    0.001500;     8.308179;     0.961193;     0.177308; ; 
    0.001600;     8.169058;     0.895384;     0.177308; ; 
    0.001700;     8.186448;     0.813122;     0.104128; ; 
    0.001800;     8.082107;     0.780217;     0.104128; ; 
    0.001900;     8.395130;     0.796670;     0.323668; ; 
    0.002000;     8.116887;     0.665051;     0.323668; ; 
    0.002100;     8.256009;     0.681503;     0.323668; ; 
    0.002200;     8.221228;     0.747313;     0.250488; ; 
    0.002300;     8.203838;     0.878931;     0.177308; ; 
    0.002400;     8.273399;     0.846027;     0.104128; ; 
    0.002500;     8.221228;     0.599242;     0.177308; ; 
    0.002600;     8.290789;     0.665051;     0.250488; ; 
    0.002700;     8.012547;     0.681503;     0.177308; ; 
    0.002800;     8.169058;     0.747313;     0.250488; ; 
    0.002900;     8.099497;     0.895384;     0.250488; ; 
    0.003000;     8.099497;     0.895384;     0.250488; ; 
    0.003100;     8.186448;     0.829574;     0.323668; ; 
    0.003200;     8.238618;     0.714408;     0.323668; ; 
    0.003300;     8.308179;     0.319552;     0.396848; ; 
    0.003400;     8.360349;     0.187933;     0.396848; ; 
    0.003500;     7.786475;     0.336004;     0.250488; ; 
    0.003600;     8.203838;     0.681503;     0.250488; ; 
    0.003700;     8.395130;     1.010550;     0.104128; ; 
    0.003800;     8.116887;     1.092812;     0.030948; ; 
    0.003900;     8.151668;     0.961193;     0.030948; ; 
    0.004000;     8.221228;     0.846027;     0.323668; ; 
    0.004100;     8.377739;     0.862479;     0.323668; ; 
    0.004200;     8.290789;     1.027002;     0.323668; ; 
    0.004300;     8.273399;     0.994098;     0.470028; ; 
    0.004400;     8.273399;     1.059907;     0.250488; ; 
    0.004500;     8.325569;     0.911836;     0.177308; ; 
    0.004600;     8.151668;     0.895384;     0.104128; ; 
    0.004700;     8.151668;     0.813122;     0.104128; ; 
    0.004800;     8.169058;     0.714408;     0.177308; ; 
    0.004900;     8.342959;     0.566337;     0.323668; ; 
    0.005000;     8.290789;     0.566337;     0.323668; ; 
    0.005100;     8.360349;     0.681503;     0.396848; ; 
    0.005200;     8.377739;     0.697956;     0.323668; ; 
    0.005300;     8.151668;     0.846027;     0.323668; ; 
    0.005400;     8.238618;     0.911836;     0.323668; ; 
    0.005500;     8.151668;     0.878931;     0.250488; ; 
    0.005600;     8.082107;     0.928288;     0.323668; ; 
    0.005700;     8.151668;     0.961193;     0.177308; ; 
    0.005800;     8.169058;     1.010550;     0.177308; ; 
    0.005900;     8.464690;     0.977645;     0.177308; ; 
    0.006000;     8.325569;     1.191526;     0.177308; ; 
    0.006100;     8.342959;     1.092812;     0.177308; ; 
    0.006200;     8.308179;     1.027002;     0.396848; ; 
    0.006300;     8.256009;     0.813122;     0.177308; ; 
    0.006400;     8.256009;     0.632146;     0.323668; ; 
    0.006500;     8.099497;     0.730860;     0.104128; ; 
    0.006600;     8.221228;     0.961193;     0.323668; ; 
    0.006700;     8.186448;     1.092812;     0.177308; ; 
    0.006800;     8.360349;     1.059907;     0.104128; ; 
    0.006900;     8.064717;     1.027002;     0.323668; ; 
    0.007000;     8.551641;     1.027002;     0.250488; ; 
    0.007100;     8.395130;     1.010550;     0.177308; ; 
    0.007200;     8.256009;     1.109264;     0.104128; ; 
    0.007300;     8.151668;     1.125716;     0.177308; ; 
    0.007400;     8.186448;     1.290240;     0.250488; ; 
