time [s]; pendulum_position [deg]; pendulum_torque [Nm]; contact_force [N]; UTC_time[YY-MM-DD HH:MM:SS +-OFF]; fallen [bool]
;;;; 2020-12-21 11:55:14 +0100;
    0.000100;   -38.369073;     0.220838;    -1.725371; ; 
    0.000200;   -38.334193;     0.138576;    -0.408132; ; 
    0.000300;   -38.473710;     0.467623;    -0.261772; ; 
    0.000400;   -38.752743;     0.911836;    -0.554492; ; 
    0.000500;   -38.944578;     1.027002;    -0.115412; ; 
    0.000600;   -38.613226;     0.944741;    -0.847212; ; 
    0.000700;   -38.543468;     0.895384;     0.030948; ; 
    0.000800;   -38.421391;     0.961193;    -0.481312; ; 
    0.000900;   -38.526029;     0.994098;    -0.261772; ; 
    0.001000;   -38.560908;     0.977645;    -0.774032; ; 
    0.001100;   -38.473710;     0.780217;    -0.554492; ; 
    0.001200;   -38.491149;     0.895384;     0.177308; ; 
    0.001300;   -38.613226;     0.796670;    -0.115412; ; 
    0.001400;   -38.578347;     0.582789;    -0.481312; ; 
    0.001500;   -38.839941;    -0.206923;    -0.481312; ; 
    0.001600;   -38.630666;    -0.618231;    -0.774032; ; 
    0.001700;   -38.526029;     0.006958;    -0.188592; ; 
    0.001800;   -38.543468;     0.665051;    -0.261772; ; 
    0.001900;   -38.456270;     0.961193;     0.250488; ; 
    0.002000;   -38.491149;     0.730860;    -0.481312; ; 
    0.002100;   -38.386512;     0.368909;    -0.481312; ; 
    0.002200;   -38.473710;     0.187933;    -0.774032; ; 
    0.002300;   -38.543468;     0.303100;    -0.774032; ; 
    0.002400;   -38.508589;     0.632146;    -1.213112; ; 
    0.002500;   -38.595787;     0.796670;    -0.115412; ; 
    0.002600;   -38.526029;     0.681503;     0.177308; ; 
    0.002700;   -38.438831;     0.813122;     0.250488; ; 
    0.002800;   -38.299314;     0.895384;    -0.115412; ; 
    0.002900;   -38.403952;     0.697956;    -0.261772; ; 
    0.003000;   -38.526029;     0.665051;    -0.188592; ; 
    0.003100;   -38.491149;     0.681503;    -0.334952; ; 
    0.003200;   -38.560908;     0.747313;    -0.334952; ; 
    0.003300;   -38.543468;     0.895384;    -0.554492; ; 
    0.003400;   -38.665545;     0.961193;    -0.115412; ; 
    0.003500;   -38.665545;     0.796670;    -0.042232; ; 
    0.003600;   -38.194677;     0.632146;     0.177308; ; 
    0.003700;   -38.299314;     0.763765;    -0.627672; ; 
    0.003800;   -38.264435;     1.043455;    -0.554492; ; 
    0.003900;   -38.212117;     1.027002;    -0.700852; ; 
    0.004000;   -38.421391;     0.944741;    -0.408132; ; 
    0.004100;   -38.578347;     0.977645;    -0.188592; ; 
    0.004200;   -38.560908;     1.027002;    -0.408132; ; 
    0.004300;   -38.543468;     1.076359;    -0.334952; ; 
    0.004400;   -38.421391;     0.878931;    -0.408132; ; 
    0.004500;   -38.334193;     0.451171;    -0.188592; ; 
    0.004600;   -38.212117;     0.072767;    -0.334952; ; 
    0.004700;   -38.229556;     0.220838;    -0.627672; ; 
    0.004800;   -38.299314;     0.599242;    -0.261772; ; 
    0.004900;   -38.351633;     0.829574;     0.177308; ; 
    0.005000;   -38.351633;     0.829574;    -0.627672; ; 
    0.005100;   -38.508589;     0.730860;     0.177308; ; 
    0.005200;   -38.438831;     0.714408;    -0.554492; ; 
    0.005300;   -38.421391;     0.780217;    -0.408132; ; 
    0.005400;   -38.648105;     0.813122;    -0.408132; ; 
    0.005500;   -38.264435;     0.878931;    -0.188592; ; 
    0.005600;   -38.299314;     0.796670;    -0.115412; ; 
    0.005700;   -38.159798;     0.862479;    -0.627672; ; 
    0.005800;   -38.491149;     0.780217;    -0.408132; ; 
    0.005900;   -38.438831;     0.336004;    -0.188592; ; 
    0.006000;   -38.421391;    -0.272732;    -0.188592; ; 
    0.006100;   -38.578347;    -0.075304;     0.030948; ; 
    0.006200;   -38.508589;     0.615694;     0.396848; ; 
    0.006300;   -38.194677;     1.092812;    -0.115412; ; 
    0.006400;   -38.264435;     1.076359;    -0.115412; ; 
    0.006500;   -38.578347;     0.697956;     0.104128; ; 
